code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
20684600;https://images.openfoodfacts.org/images/products/20684600/front_fr.22.400.jpg;Latte Macchiato;500 g e;14 g;;bellarom;['bellarom'];NULL;Boissons, Produits laitiers, Boissons lactées, Boissons instantanées, Boissons au café, Boissons lactées au café, Boissons avec sucre ajouté;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:instant-beverages', 'en:coffee-drinks', 'en:coffee-milks', 'en:sweetened-beverages'];"Agriculture durable, Fabriqué en Allemagne, en:UTZ Certified, Café certifié UTZ
";['en:sustainable-farming', 'en:made-in-germany', 'en:utz-certified', 'en:utz-certified-coffee'];Belgium,France;['en:belgium', 'en:france'];sugar, sweet whey powder (milk), skimmed powder, 10% instant coffee, lactose (milk), fertilizer, coconut, salt, stabilizer: potassium phosphate, to keep away from heat and moisture, tightly close the packed after each use, not open,;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];NULL
7613269847441;https://images.openfoodfacts.org/images/products/761/326/984/7441/front_fr.13.400.jpg;Migros Grande Caffè Intenso;230ml;230ml;;Migros;['migros'];NULL;Boissons, Produits laitiers, Boissons lactées, Boissons au café, Boissons lactées au café;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:coffee-drinks', 'en:coffee-milks'];"Agriculture durable, Sans sucre ajouté, Sans lactose, en:UTZ Certified, Café certifié UTZ
";['en:sustainable-farming', 'en:no-added-sugar', 'en:no-lactose', 'en:utz-certified', 'en:utz-certified-coffee'];France,Suisse;['en:france', 'en:switzerland'];NULL;;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];e
9004380014306;https://images.openfoodfacts.org/images/products/900/438/001/4306/front_es.15.400.jpg;Landessa Ice Coffee Capuccino 230 ML;;NULL;;;[];NULL;Bebidas, Bebidas de café;['en:beverages', 'en:coffee-drinks'];;[];Spain;['en:spain'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];c
4000980377426;https://images.openfoodfacts.org/images/products/400/098/037/7426/front_de.3.400.jpg;Kaffee auf mandelbasis;250 ml;250 ml;Kunststoff, Papier, PP - Polypropylen;Getränk;['getrank'];NULL;Coffee drinks;['en:beverages', 'en:coffee-drinks'];European Vegetarian Union Vegan;['en:vegetarian', 'en:vegan', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan'];Germany;['en:germany'];NULL;en:nuts;['en:nuts'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
01217702;https://images.openfoodfacts.org/images/products/01217702/front_en.20.400.jpg;Starbucks double shot espresso;NULL;1 CAN (192 ml);NULL;Starbucks;['starbucks'];Seven D's Food Company;Plant-based foods and beverages, Beverages, Plant-based foods, Coffees, en:coffee-drinks;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:coffees', 'en:coffee-drinks'];NULL;NULL;United States;['en:united-states'];Brewed espresso coffee (water, coffee), reduced-fat milk, sugar, cream, skim milk, ascorbic acid.;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
4045317054601;https://images.openfoodfacts.org/images/products/404/531/705/4601/front_de.44.400.jpg;Der Eiskaffee (klassisch);1000ml;200ml;en:Container;Bärenmarke, Bärenmarke;['barenmarke', 'barenmarke'];NULL;Getränke, Kaffeegetränke, Eiskaffees;['en:beverages', 'en:coffee-drinks', 'en:iced-coffees'];FSC,FSC Mix;['en:fsc', 'en:fsc-mix'];Deutschland;['en:germany'];;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
4045317053055;https://images.openfoodfacts.org/images/products/404/531/705/3055/front_de.15.400.jpg;Der frische Eis-Kaffee - Latte Macchiato;1 l;200ml;Tetra Pak;Bärenmarke;['barenmarke'];NULL;Getränke, Kaffeegetränke, Eiskaffees, Gezuckerte Getränke;['en:beverages', 'en:coffee-drinks', 'en:iced-coffees', 'en:sweetened-beverages'];100% Arabica,Ohne Gentechnik,FSC Mix;['en:fsc', 'en:fsc-mix', 'en:no-gmos', 'en:ohne-gentechnik', 'de:100-arabica'];Deutschland,en:germany;['en:germany'];NULL;;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
42369936;https://images.openfoodfacts.org/images/products/42369936/front_de.15.400.jpg;Latte Espresso - kräftig;250 ml;NULL;Kunststoff, Aluminium-Platine;Cafèt;['cafet'];NULL;Getränke, Kaffeegetränke, Milchmischgetränk;['en:beverages', 'en:coffee-drinks', 'de:milchmischgetränk'];"Gentechnikfrei, Ohne Gentechnik, Rainforest Alliance

";['en:no-gmos', 'en:ohne-gentechnik', 'en:rainforest-alliance'];Deutschland;['en:germany'];NULL;;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5760466995856;https://images.openfoodfacts.org/images/products/576/046/699/5856/front_fr.31.400.jpg;Skinny latte;220 ml;NULL;;Starbucks;['starbucks'];NULL;Bevande al caffè;['en:beverages', 'en:coffee-drinks'];;[];Suisse;['en:switzerland'];;;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
42353980;https://images.openfoodfacts.org/images/products/42353980/front_de.3.400.jpg;Müllermilch eiskaffee;400ml;NULL;Kunststoff, Kunststoffflasche;müller;['muller'];NULL;Getränke, Kaffeegetränke, Eiskaffees, Gezuckerte Getränke;['en:beverages', 'en:coffee-drinks', 'en:iced-coffees', 'en:sweetened-beverages'];;[];Deutschland;['en:germany'];NULL;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
