code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3278693504076;https://images.openfoodfacts.org/images/products/327/869/350/4076/front_fr.78.400.jpg;Emprésuré au chocolat;4*125 g;125g;Pot, Container;Malo;['malo'];NULL;Dairies, Desserts, Fermented foods, Fermented milk products, Dairy desserts, Dessert creams, Yogurts, Chocolate desserts, Refrigerated dessert creams, Refrigerated chocolate custard dessert, fr:laits-empresures-au-chocolat, Yaourts aromatisés;['en:beverages', 'en:dairies', 'en:desserts', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:milks', 'en:dairy-desserts', 'en:flavoured-milks', 'en:dessert-creams', 'en:yogurts', 'en:chocolate-desserts', 'en:flavoured-yogurts', 'en:refrigerated-dessert-creams', 'en:renneted-milks', 'en:flavoured-renneted-milks', 'en:refrigerated-chocolate-custard-dessert', 'fr:laits-empresures-au-chocolat'];en:Lait Français, en:Point Vert, en:Produit en Bretagne;['en:lait-francais', 'en:point-vert', 'en:produit-en-bretagne'];France,en:france;['en:france'];partially skimmed pasteurized milk 64%, skimed condensed milk, sugar 11%, cocoa 2,4%, chocolate 1%: cocoa paste and cocoa butter, renuret, calcium chloride;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];b
3033491214509;https://images.openfoodfacts.org/images/products/303/349/121/4509/front_en.57.400.jpg;Actimel 0%;800 g;NULL;Plastique,Bouteille,Frais,Etui en carton;Danone,Actimel;['danone', 'actimel'];NULL;Boissons,Produits laitiers,Produits fermentés,Produits laitiers fermentés,Boissons lactées,Boissons édulcorées,Boissons fermentées,Boissons lactées fermentées,Yaourts,Yaourts à boire,Boissons sans sucre ajouté,Yaourts à boire sans sucres;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:artificially-sweetened-beverages', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:drinkable-yogurts', 'en:unsweetened-beverages', 'fr:yaourts-a-boire-sans-sucres'];Peu ou pas de matière grasse,Peu ou pas de sucre,Peu de sucre,Allégé en sucre,Contient une source de phénylalanine,Point Vert,Sans matière grasse,Nutriscore,Nutriscore A;['en:low-or-no-fat', 'en:low-or-no-sugar', 'en:low-sugar', 'en:reduced-sugar', 'en:contains-a-source-of-phenylalanine', 'en:green-dot', 'en:no-fat', 'en:nutriscore', 'en:nutriscore-grade-a'];Belgique,France,Allemagne,Espagne;['en:belgium', 'en:france', 'en:germany', 'en:spain'];skimmed milk, reconstituted skimmed milk, water, dextrose (0,6%), thickener (pectin), milk mineral concentrate, sweeteners (aspartame, acesulfame k), lactic ferments including lactobacillus casei (milk), vitamin b6, natural flavor, vitamin d, contains a source of phenylalanine,;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
3176571744289;https://images.openfoodfacts.org/images/products/317/657/174/4289/front_en.90.400.jpg;Candy'Up Goût Chocolat;1,2 L (6*20 cl);20cl;Tetra Pak,Brique,Récipient,Briquette,Film plastique;Candia;['candia'];NULL;Boissons,Produits laitiers,Boissons lactées,Laits aromatisés,Laits aromatisés au chocolat;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:flavoured-milks', 'en:chocolate-milks'];Sans colorants,Sans conservateurs,Nutriscore,Nutriscore B;['en:no-colorings', 'en:no-preservatives', 'en:nutriscore', 'en:nutriscore-grade-b'];Belgique,France,Espagne;['en:belgium', 'en:france', 'en:spain'];Dairy products: 93% (partly skimmed milk, reconstituted milk permeate), sugar, cocoa 1.4%, vitamin D.;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];b
8436547770137;https://images.openfoodfacts.org/images/products/843/654/777/0137/front_en.51.400.jpg;Natural Kéfir;500 g;NULL;Plastic,Pot,Producto;Hacendado;['hacendado'];NULL;Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Kefir;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:kefir'];;[];Spain;['en:spain'];Leche, nata, leche en polvo desnatada y fermentos;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];e
3329778164019;https://images.openfoodfacts.org/images/products/332/977/816/4019/front_fr.64.400.jpg;P'tit Yop, Goût Fraise;180 g;180g;Frais, Bouteille et bouchon plastique à recycler;Yoplait;['yoplait'];NULL;Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Frais, Boissons fermentées, Boissons lactées fermentées, Yaourts, Yaourts à boire, Yaourts aromatisés, Yaourts à boire goût fraise;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fresh-foods', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:drinkable-yogurts', 'en:flavoured-yogurts', 'en:strawberry-yogurt-drinks'];Point Vert, Arômes naturels, Eco-emballages, Info-tri-point-vert, Se-conserve-jusqu-a-8-h-hors-du-frigo;['en:green-dot', 'en:natural-flavors', 'fr:eco-emballages', 'fr:info-tri-point-vert', 'fr:se-conserve-jusqu-a-8-h-hors-du-frigo'];Belgique,France;['en:belgium', 'en:france'];NULL;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3329770047891;https://images.openfoodfacts.org/images/products/332/977/004/7891/front_fr.96.400.jpg;Mini Yop Fraise;100 g;100 g;Plastique, Bouteille, Bouchon de bouteille, Bouchon de bouteille de vin, Bouteille en plastique;Yoplait,Yop;['yoplait', 'yop'];NULL;Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Yaourts, Yaourts à boire, Yaourts aromatisés, Yaourts à boire goût fraise, Boissons avec sucre ajouté;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:drinkable-yogurts', 'en:flavoured-yogurts', 'en:strawberry-yogurt-drinks', 'en:sweetened-beverages'];Point Vert, Arômes naturels, Eco-Emballages, Se conserve jusqu'à 8 H hors du frigo;['en:green-dot', 'en:natural-flavors', 'fr:eco-emballages', 'fr:se-conserve-jusqu-a-8-h-hors-du-frigo'];Belgique,France,Suisse;['en:belgium', 'en:france', 'en:switzerland'];partially skimmed milk made from milk powder - sugar 6% - glucose-fructose syrup 3.8% - natural aroma - concentrated milk minerals - lactic ferments (milk),;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
4025500186821;https://images.openfoodfacts.org/images/products/402/550/018/6821/front_xx.94.400.jpg;;500g;NULL;Plastic,PP;Müller;['muller'];NULL;Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Kefir;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:kefir'];;[];Luxembourg,Deutschland,Frankreich,Rumänien,Spanien;['en:luxembourg', 'en:deutschland', 'en:frankreich', 'en:rumanien', 'en:spanien'];;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];d
3329770063297;https://images.openfoodfacts.org/images/products/332/977/006/3297/front_fr.48.400.jpg;YOP Parfum Vanille;825 g;170 g (recommandée);Plastique, Bouteille, Flacon, Bouteille en plastique;Yoplait, Yop gf;['yoplait', 'yop-gf'];NULL;Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Yaourts, Yaourts à boire, Yaourts à boire goût vanille;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:drinkable-yogurts', 'en:vanilla-yogurt-drinks'];Sans colorants;['en:no-colorings'];France;['en:france'];NULL;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3033491213205;https://images.openfoodfacts.org/images/products/303/349/121/3205/front_fr.85.400.jpg;Actimel;12 x 100 g;100g;Bouteille;Danone,Actimel;['danone', 'actimel'];NULL;Bebidas,Lácteos,Comidas fermentadas,Productos fermentados de la leche,Bebida lácteas,Bebidas fermentadas,Bebidas de leche fermentada,Yogures,Yogures para beber,Bebidas no azucaradas;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:drinkable-yogurts', 'en:unsweetened-beverages'];Sin colorantes,Sin conservantes;['en:no-colorings', 'en:no-preservatives'];Afganistán,Francia,Alemania,España;['en:afghanistan', 'en:france', 'en:germany', 'en:spain'];fermented milk with lactobacillus casei, sugar (7.3%), dextrose (0.6%), vitamins d and b6,;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3329778164064;https://images.openfoodfacts.org/images/products/332/977/816/4064/front_fr.87.400.jpg;Yop parfum vanille;720 g (4 x 180 g);180g;Plastique, Bouteille, Bouchon de bouteille, Carton, Frais, Étui, Bouchon de bouteille de vin;Yoplait;['yoplait'];NULL;Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Frais, Boissons fermentées, Boissons lactées fermentées, Yaourts, Yaourts à boire, Yaourts aromatisés, Boissons avec sucre ajouté, Yaourts à boire goût vanille;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fresh-foods', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:drinkable-yogurts', 'en:flavoured-yogurts', 'en:sweetened-beverages', 'en:vanilla-yogurt-drinks'];Sans gluten, Lait Français, Arômes naturels, Se-conserve-jusqu-a-8-h-hors-du-frigo;['en:no-gluten', 'en:french-milk', 'en:natural-flavors', 'fr:se-conserve-jusqu-a-8-h-hors-du-frigo'];France;['en:france'];NULL;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];b
