code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
90331473;https://images.openfoodfacts.org/images/products/90331473/front_fr.109.400.jpg;FuzeTea Thé glacé pêche intense;250 ml;250 ml;Plastic, Bottle, fr:Bouteille en verre;FUZE TEA;['fuze-tea'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Boissons édulcorées, Boissons au thé, Thés glacés, Thés glacés saveur pêche, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:artificially-sweetened-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas', 'en:sweetened-beverages'];;[];France;['en:france'];water,sugar,peach juice, citric acid, tea extracts, sodium citrate, malic acid, natural flavors of peach and tea with other natural flavors, ascorbic acid, sweetener steviol glycosides;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
7613036271868;https://images.openfoodfacts.org/images/products/761/303/627/1868/front_fr.115.400.jpg;Capsules NESCAFE Dolce Gusto Cappuccino Extra Crema 16 Capsules;186.4 g;263.3 g (240 ml);Boîte, Dose invididuelle;Nestlé, Nescafe, Dolce gusto;['nestle', 'nescafe', 'dolce-gusto'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Dosettes, Cafés moulus, Cafés en dosettes, Cafés en dosettes compatible Dolce Gusto, Boissons avec sucre ajouté, Dosettes Dolce Gusto;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:coffees', 'en:capsules', 'en:ground-coffees', 'en:coffee-capsules', 'en:dolce-gusto-compatible-coffee-capsules', 'en:sweetened-beverages', 'fr:dosettes-dolce-gusto'];Point Vert, Triman;['en:green-dot', 'fr:triman'];France;['en:france'];black capsule: ground roasted coffee - white capsule: whole milk powder (82.4%), sugar;;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5055953900100;https://images.openfoodfacts.org/images/products/505/595/390/0100/front_fr.66.400.jpg;Thé vert saveur citron 25 sachets de 2 g;50 g;2 g;Emballage Carton, Film Plastique, Film en plastique, Sachet Papier;twinings;['twinings'];NULL;Aliments et boissons à base de végétaux,Boissons,Boissons chaudes,Boissons à base de végétaux,Thés,Thés verts,Thés aromatisés,Thés au citron,Thés verts aromatisés,Thés verts aromatisés au citron;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:green-teas', 'en:flavored-teas', 'en:lemon-teas', 'fr:thes-verts-aromatises', 'fr:thes-verts-aromatises-au-citron'];Sourced with Care;['fr:sourced-with-care'];Belgique,France;['en:belgium', 'en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];NULL
5021991938856;https://images.openfoodfacts.org/images/products/502/199/193/8856/front_fr.41.400.jpg;Infusion bio;50 g;NULL;Sachet, Carton, Etui en carton;Clipper;['clipper'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Infusions;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas'];"Organic, EU Organic, Non-EU Agriculture, EU Agriculture, EU/non-EU Agriculture, GB-ORG-05
, fr:ab-agriculture-biologique";['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:gb-org-05', 'fr:ab-agriculture-biologique'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
7613032573867;https://images.openfoodfacts.org/images/products/761/303/257/3867/front_fr.105.400.jpg;NESCAFÉ Cappuccino Vanille, Café soluble, Boîte de 310g;310 g;230 ml (17 g + 200 ml d'eau donne 230 ml);Boîte, Boite Plastique, Film en plastique, Bocal;Nestlé,Nescafé,Cappuccino;['nestle', 'nescafe', 'cappuccino'];NULL;Plant-based foods and beverages,Beverages,Plant-based foods,Hot beverages,Coffees,Instant beverages,Instant coffees,Powdered cappucino;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-coffees', 'en:powdered-cappucino'];Green Dot,Nutriscore,Nutriscore Grade D, Triman;['en:green-dot', 'en:nutriscore', 'en:nutriscore-grade-d', 'fr:triman'];France,Réunion;['en:france', 'en:reunion'];sugar, skimmed milk powder 20.4%, glucose syrup, vegetable oil (coconut), soluble coffee 8%, lactose, natural aroma, salt, acidity corrector (e340), stabilizers (e331, e452), ,;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];d
3187570015508;https://images.openfoodfacts.org/images/products/318/757/001/5508/front_fr.34.400.jpg;La Tierra;250 g;NULL;Métal, Bocal, Opercule en métal;Malongo;['malongo'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:coffees'];"Bio, Bio européen, Commerce équitable, Fairtrade International, FR-BIO-01, Max Havelaar




";['en:organic', 'en:eu-organic', 'en:fair-trade', 'en:fairtrade-international', 'en:fr-bio-01', 'en:max-havelaar'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
7613036311540;https://images.openfoodfacts.org/images/products/761/303/631/1540/front_fr.22.400.jpg;NESCAFE SPECIAL FILTRE BIO café soluble;95 g;NULL;Verre;Nescafé;['nescafe'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Boissons instantanées, Cafés solubles;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-coffees'];Bio, Bio européen, Commerce équitable, Fairtrade International, Agriculture non UE, AB Agriculture Biologique;['en:organic', 'en:eu-organic', 'en:fair-trade', 'en:fairtrade-international', 'fr:ab-agriculture-biologique', 'en:agriculture-non-ue', 'en:bio', 'en:bio-europeen', 'en:commerce-equitable'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];NULL
3564700028872;https://images.openfoodfacts.org/images/products/356/470/002/8872/front_fr.58.400.jpg;Chicorée Café;250 g;4 g;Plastic, fr:Boîte métal, fr:Opercule en métal à recycler;Plantation,Marque Repère;['plantation', 'marque-repere'];NULL;Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Coffees, Instant beverages, Unsweetened beverages, fr:Chicorée, en:instant-mix-of-chicory-and-coffee-powder;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:plant-based-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-mix-of-chicory-and-coffee-powder', 'en:unsweetened-beverages', 'fr:chicoree'];Point Vert;['en:green-dot'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];NULL
5055953902494;https://images.openfoodfacts.org/images/products/505/595/390/2494/front_fr.22.400.jpg;Thé Earl Grey coffret;200g;NULL;Boîte en metal, Couvercle en métal;Twinings;['twinings'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Infusions, Boissons sans alcool;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas', 'en:non-alcoholic-beverages'];;[];France, en:belgium;['en:belgium', 'en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];NULL
7610700603079;https://images.openfoodfacts.org/images/products/761/070/060/3079/front_fr.77.400.jpg;Infuselle Bonne Nuit;200 g;NULL;Conserve, Boite en métal, Boite métal, Couvercle plastique;Ricola;['ricola'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Infusions, Tisanes de plantes mélangées, Infusions Bonne Nuit, Boissons avec sucre ajouté, Boissons sans sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:herbal-tea-blends', 'en:good-nightrest-tea-blends', 'en:sweetened-beverages', 'en:unsweetened-beverages'];Fabriqué en Suisse;['en:made-in-swiss'];Belgique, France, suisse;['en:belgium', 'en:france', 'en:switzerland'];sugar, dextrose, extract (3.8%) plants: lemongrass lemon balm, orange blossom, rose, lavender, hops, poppy, lime, molasses, honey (0.6%), caramelized sugar, acidifying (citric acid), natural orange aroma,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
