code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
20770204;https://images.openfoodfacts.org/images/products/20770204/front_fr.59.400.jpg;Solevita Petit Déjeuner;1 L e;100ml;Plastique, Bouteille;Solevita;['solevita'];NULL;Aliments et boissons à base de végétaux, Boissons, Petit-déjeuners, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Boissons sans alcool, Jus multifruits, Jus de fruits pur jus, Jus multifruits pur jus;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:breakfasts', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:non-alcoholic-beverages', 'en:multifruit-juices', 'en:squeezed-juices', 'en:squeezed-multifruit-juices'];Point Vert, Pur jus;['en:green-dot', 'en:pure-juice'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
3700490809448;https://images.openfoodfacts.org/images/products/370/049/080/9448/front_fr.78.400.jpg;Pur Jus de Pomme;1 L;150ml;Brique, Carton, Etui en carton;C'est qui le patron ?!,La marque du consommateur;['c-est-qui-le-patron', 'la-marque-du-consommateur'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Boissons sans alcool, Jus de fruits pur jus, Jus de pomme, Jus de pommes pur jus;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:non-alcoholic-beverages', 'en:squeezed-juices', 'en:apple-juices', 'en:squeezed-apple-juices'];en:fsc,Fabriqué en France,Pur jus,Origine France,Haute Valeur Environnementale,Pommes de France;['en:apples-from-france', 'en:fsc', 'en:made-in-france', 'en:pure-juice', 'fr:haute-valeur-environnementale', 'fr:origine-france'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
3700123300380;https://images.openfoodfacts.org/images/products/370/012/330/0380/front_en.96.400.jpg;Nestlé pure life;50 cl;1g;Bouchon en plastique, Bouteille en plastique;Nestlé;['nestle'];NULL;Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages'];;[];Belgique,France,Espagne,en:francia;['en:belgium', 'en:france', 'en:spain', 'en:francia'];eau de source Nestlé Pure Life;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3057640467578;https://images.openfoodfacts.org/images/products/305/764/046/7578/front_fr.18.400.jpg;Juicy Fruits Exotiques;1.5 l;NULL;Plastique, Bouteille;Volvic,Volvic juicy;['volvic', 'volvic-juicy'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Eaux, Boissons sans alcool, Eaux aromatisées, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:waters', 'en:non-alcoholic-beverages', 'en:flavored-waters', 'en:sweetened-beverages'];;[];France,Suisse;['en:france', 'en:switzerland'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
3080216050751;https://images.openfoodfacts.org/images/products/308/021/605/0751/front_fr.37.400.jpg;Tourtel 27.5 cl Tourtel Twist Lime 0.0 DEGRE ALCOOL;275 ml;NULL;Bouteille;TOURTEL, Tourtel Twist, Tourtel Twist Lime;['tourtel', 'tourtel-twist', 'tourtel-twist-lime'];NULL;Boissons, Boissons sans alcool, Bières sans alcool;['en:beverages', 'en:non-alcoholic-beverages', 'en:non-alcoholic-beers'];Triman;['fr:triman'];France;['en:france'];NULL;en:gluten;['en:gluten'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
3468570726299;https://images.openfoodfacts.org/images/products/346/857/072/6299/front_fr.65.400.jpg;Eau minérale Naturelle des Alpes;1.5 l;1 L;Plastique,Bouteille,Bouteille plastique;Thonon;['thonon'];NULL;Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Eaux minérales naturelles,Boissons sans sucre ajouté;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters', 'en:unsweetened-beverages'];;[];France,Suisse;['en:france', 'en:switzerland'];NULL;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
5060517889852;https://images.openfoodfacts.org/images/products/506/051/788/9852/front_fr.20.400.jpg;Juiced - Mango loco;500ml;NULL;Canette metal;Monster;['monster'];NULL;Boissons, Boissons édulcorées, Boissons sans alcool, Boissons énergisantes, Boissons avec sucre ajouté;['en:beverages', 'en:artificially-sweetened-beverages', 'en:non-alcoholic-beverages', 'en:energy-drinks', 'en:sweetened-beverages'];;[];Francia;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3057640186158;https://images.openfoodfacts.org/images/products/305/764/018/6158/front_de.38.400.jpg;Volvic;1500ml;NULL;Einwegpfandflasche;Volvic;['volvic'];NULL;Beverages, Waters, Spring waters, Mineral waters, Non-Alcoholic beverages, en:natural-mineral-waters;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters'];Grüner Punkt;['en:green-dot'];Frankreich,Deutschland;['en:france', 'en:germany'];;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];a
3124480185877;https://images.openfoodfacts.org/images/products/312/448/018/5877/front_fr.85.400.jpg;Pulco Citronnade;1 l;NULL;Bouteille;Pulco;['pulco'];NULL;Boissons, Boissons sans alcool, Boissons avec sucre ajouté, Citronnades;['en:beverages', 'en:non-alcoholic-beverages', 'en:sweetened-beverages', 'fr:citronnades'];Sans colorants, Sans conservateurs;['en:no-colorings', 'en:no-preservatives'];France, en:belgium;['en:belgium', 'en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
3057640317743;https://images.openfoodfacts.org/images/products/305/764/031/7743/front_fr.62.400.jpg;Volvic Zest Citron;50 cl e;250g;Plastique, Bouteille;Volvic;['volvic'];NULL;Boissons,Eaux,Boissons sans alcool,Eaux aromatisées,Boissons avec sucre ajouté;['en:beverages', 'en:waters', 'en:non-alcoholic-beverages', 'en:flavored-waters', 'en:sweetened-beverages'];Faible en calories;['fr:faible-en-calories'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
