code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3502110009449;https://images.openfoodfacts.org/images/products/350/211/000/9449/front_fr.134.400.jpg;Tropicana 100% oranges pressées sans pulpe 1 L;1000 ml;150 ml;Plastique, Bouteille, Bouteille en plastique;Tropicana;['tropicana'];NULL;Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Non-Alcoholic beverages, Orange juices, Squeezed juices, Squeezed orange juices, fr:jus-d-orange-sans-pulpe;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:non-alcoholic-beverages', 'en:orange-juices', 'en:squeezed-juices', 'en:squeezed-orange-juices', 'fr:jus-d-orange-sans-pulpe'];Point Vert,Sans sucre ajouté,Sans colorants,Sans conservateurs,Pur jus;['en:green-dot', 'en:no-added-sugar', 'en:no-colorings', 'en:no-preservatives', 'en:pure-juice'];Belgique,France,Luxembourg,La Réunion,Suisse;['en:belgium', 'en:france', 'en:luxembourg', 'en:reunion', 'en:switzerland'];orange juice,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
3229820787015;https://images.openfoodfacts.org/images/products/322/982/078/7015/front.16.400.jpg;;1 l;NULL;Tetra Pak, Brique, Carton, Frais, Brique en carton;Bjorg;['bjorg'];NULL;Plant-based foods and beverages,Beverages,Plant-based foods,Nuts and their products,Plant-based beverages,Milk substitute,Plant milks,Nut milks,Almond milks,Unsweetened natural almond milks;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:nut-milks', 'en:almond-milks', 'en:unsweetened-natural-almond-milks'];Low or no sugar,Organic,Certified by Ecocert,EU Organic,100% vegetable,Calcium source,FSC,FSC Mix,IT-BIO-007,Made in Italy,No added sugar,Nutriscore,Nutriscore Grade B,AB Agriculture Biologique;['en:low-or-no-sugar', 'en:organic', 'en:certified-by-ecocert', 'en:eu-organic', 'en:100-vegetable', 'en:calcium-source', 'en:fsc', 'en:fsc-mix', 'en:it-bio-007', 'en:made-in-italy', 'en:no-added-sugar', 'en:nutriscore', 'en:nutriscore-grade-b', 'fr:ab-agriculture-biologique'];Belgium,Côte d'Ivoire,France,French Polynesia,Guadeloupe,Martinique,Morocco,New Caledonia,Réunion,Switzerland,United Kingdom;['en:belgium', 'en:cote-d-ivoire', 'en:france', 'en:french-polynesia', 'en:guadeloupe', 'en:martinique', 'en:morocco', 'en:new-caledonia', 'en:reunion', 'en:switzerland', 'en:united-kingdom'];"almond milk * (water, almonds * 2,8%), rice starch*, seaweed lithothamniüm calcareum 0,2%, natural flavor, sea salt, stabilizers: guar gum*, xanthan gum, 
 *organic ingredients,";en:nuts;['en:nuts'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:plant-based-milk-substitutes'];b
3228886048436;https://images.openfoodfacts.org/images/products/322/888/604/8436/front_fr.215.400.jpg;Lipton Ice Tea saveur pêche 1,5 L;1500 ml;250ml;Plastic,PET - Polyethylene terephthalate,Bottle,fr:Bouchon en plastique,fr:Bouteille en plastique,fr:Bouteille plastique recyclé;Lipton;['lipton'];NULL;Plant-based foods and beverages,Beverages,Plant-based beverages,Artificially sweetened beverages,Tea-based beverages,Iced teas,Peach flavored iced teas,Sweetened beverages;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:artificially-sweetened-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas', 'en:sweetened-beverages'];Green Dot,fr:Emballage-plastique-100-recycle,fr:Thé noir Rainforest Alliance 100 % vérifié;['en:green-dot', 'fr:emballage-plastique-100-recycle', 'fr:the-noir-rainforest-alliance-100-verifie'];France;['en:france'];water, sugar, fructose, acidity regulators (citric acid, malic acid), black tea extract (1,4 g/l), peach juice based on concentrate (0,1%), as an acidity regulator (trisodium citrate), flavourings, antioxidant (ascorbic acid), sweetener (steviol glycosides),;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
5411188112709;https://images.openfoodfacts.org/images/products/541/118/811/2709/front_en.269.400.jpg;Mandel;1pcs;NULL;Tetra Pak,Brick,Composite-carton,Tetra Brik,Tetra Brik Aseptic,fr:Brique en carton;Alpro;['alpro'];NULL;Plant-based foods and beverages,Beverages,Plant-based foods,Dairies,Plant-based beverages,Milks;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairies', 'en:plant-based-beverages', 'en:milks'];Vegetarian,Vegan,FSC,FSC Mix,Nutriscore,Nutriscore Grade B,The Vegan Society,Fettarm,Glutenfrei,Grüner Punkt,Kalziumquelle,Nicht Einfrieren,Niedrig Oder Kein Fett,Ohne Farbstoffzusatz,Ohne Konservierungsstoffe,Ohne Süßungsmittel,Ohne Zucker,Ohne Zusatz Von Milchprodukten,Vegetarisch,Vitamin B12quelle,Vitamin Dquelle,Vitamin Equelle,Vitaminb2source,Zuckerarm Oder Zuckerfrei;['en:vegetarian', 'en:vegan', 'en:fsc', 'en:fsc-mix', 'en:nutriscore', 'en:nutriscore-grade-b', 'en:the-vegan-society', 'en:fettarm', 'en:glutenfrei', 'en:gruner-punkt', 'en:kalziumquelle', 'en:nicht-einfrieren', 'en:niedrig-oder-kein-fett', 'en:ohne-farbstoffzusatz', 'en:ohne-konservierungsstoffe', 'en:ohne-sussungsmittel', 'en:ohne-zucker', 'en:ohne-zusatz-von-milchprodukten', 'en:vegetarisch', 'en:vitamin-b12quelle', 'en:vitamin-dquelle', 'en:vitamin-equelle', 'en:vitaminb2source', 'en:zuckerarm-oder-zuckerfrei'];Germany,Greece,Luxembourg,Poland,Portugal,Réunion,Duitsland,Frankrijk,Oostenrijk,Verenigd Koninkrijk,Romania,Belgium,Hungary,Sweden,Netherlands,Ireland,Norway,Switzerland;['en:belgium', 'en:germany', 'en:greece', 'en:hungary', 'en:ireland', 'en:luxembourg', 'en:netherlands', 'en:norway', 'en:poland', 'en:portugal', 'en:reunion', 'en:romania', 'en:sweden', 'en:switzerland', 'en:duitsland', 'en:frankrijk', 'en:oostenrijk', 'en:verenigd-koninkrijk'];water, almond (2,3%), calcium (tri-calcium phosphate), sea salt, stabilisers (locust bean gum, gellan gum), emulsifier (lecithins (sunflower)], vitamins (b2, b12, e, d2), may contain traces of nuts (no peanuts), free from dairy and gluten,;en:nuts;['en:nuts'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];b
7613035676497;https://images.openfoodfacts.org/images/products/761/303/567/6497/front_en.258.400.jpg;RICORE Original, Café & Chicorée, Boîte 260g;260 g;210.4 g (4 g + 200 ml de lait demi-écrémé);Boîte, Boîte de conserve ou canette, Conserve, Canette, Boîte en métal;Nestlé;['nestle'];NULL;Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Boissons à base de végétaux,Cafés,Boissons instantanées,Cafés solubles,Chicorée soluble,Chicorée et café en poudre soluble;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:plant-based-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-coffees', 'en:instant-chicory', 'en:instant-mix-of-chicory-and-coffee-powder'];Point Vert,Fabriqué en France,Nutriscore,Nutriscore A,Triman;['en:green-dot', 'en:made-in-france', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman'];France,Suisse;['en:france', 'en:switzerland'];soluble coffee (34.3%), chicory fibre (oligofructose) (33%), soluble chicory (30.8%), magnesium sulphate,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];e
3124480191182;NULL;;2 l;200ml;Bouchon plastique,Bouteille plastique;Oasis;['oasis'];NULL;Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons aux fruits,Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:sweetened-beverages'];Sans arômes artificiels,Sans conservateurs;['en:no-artificial-flavors', 'en:no-preservatives'];Belgique,France,La Réunion,Suisse;['en:belgium', 'en:france', 'en:reunion', 'en:switzerland'];"water source (80%) 
fruit juice base concentrate (12%) 
orange (6,4%) apple, acerola, passion fruit (0,1%), mango (0,07 per cent) 
sugar (7,1%) for the 
acidifier: citric acid, natural orange flavoring with other natural flavor, 
coloring: paprika extract,";;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3502110006790;https://images.openfoodfacts.org/images/products/350/211/000/6790/front_fr.110.400.jpg;Tropicana 100% oranges pressées sans pulpe format familial 1,5 L;1500 ml;150 ml;Plastique, Bouteille, Bouteille en plastique;Tropicana;['tropicana'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus d'orange, Jus de fruits pur jus, Jus d'orange pur jus;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:orange-juices', 'en:squeezed-juices', 'en:squeezed-orange-juices'];Peu ou pas de sucre, Point Vert, Sans sucre ajouté, Sans conservateurs;['en:low-or-no-sugar', 'en:green-dot', 'en:no-added-sugar', 'en:no-preservatives'];France,Switzerland;['en:france', 'en:switzerland'];orange juice;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
5411188110835;https://images.openfoodfacts.org/images/products/541/118/811/0835/front_en.349.400.jpg;Mandula tej,;1 l;NULL;Tetra Pak;Alpro;['alpro'];NULL;Pflanzliche Lebensmittel und Getränke,Getränke,Pflanzliche Lebensmittel,Milchprodukte,Nüsse und Nussprodukte,Pflanzliche Getränke,Milchersatz,Milch,Pflanzenmilch,Nussmilch,Mandelmilch,en:Alimente-pe-bază-de-plante,en:Alimente-și-băuturi-pe-bază-de-plante,en:Băuturi,en:Băuturi-din-plante;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairies', 'en:nuts-and-their-products', 'en:plant-based-beverages', 'en:milk-substitute', 'en:milks', 'en:plant-milks', 'en:nut-milks', 'en:almond-milks', 'en:alimente-pe-bază-de-plante', 'en:alimente-și-băuturi-pe-bază-de-plante', 'en:băuturi', 'en:băuturi-din-plante'];Vegetarisch,Glutenfrei,Vegan,Europäische Vegetarier-Union,Europäische Vegetarier-Union Vegan,FSC,FSC Mix,Grüner Punkt,Laktosefrei,Nutriscore,Nutriscore B,fr:Entrepreneurs + Engagés,Végétarien,en:FSC Misto,en:Prodotto in Francia,en:Senza coloranti,en:Senza conservanti,en:Senza glutine,en:Senza lattosio,en:Unione Europea Vegetariani,en:Vegano,en:Vegetariano;['en:vegetarian', 'en:no-gluten', 'en:vegan', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan', 'en:fsc', 'en:fsc-mix', 'en:green-dot', 'en:no-lactose', 'en:nutriscore', 'en:nutriscore-grade-b', 'fr:entrepreneurs-engages', 'de:végétarien', 'en:fsc-misto', 'en:prodotto-in-francia', 'en:senza-coloranti', 'en:senza-conservanti', 'en:senza-glutine', 'en:senza-lattosio', 'en:unione-europea-vegetariani', 'en:vegano', 'en:vegetariano'];Österreich,Belgien,Frankreich,Deutschland,Guadeloupe,Ungarn,Irland,Italien,Luxemburg,Marokko,Réunion,Rumänien,Spanien,Schweiz,Vereinigtes Königreich;['en:austria', 'en:belgium', 'en:france', 'en:germany', 'en:guadeloupe', 'en:hungary', 'en:ireland', 'en:italy', 'en:luxembourg', 'en:morocco', 'en:reunion', 'en:romania', 'en:spain', 'en:switzerland', 'en:united-kingdom'];water, sugar, almond (2.3%), tricalcium phosphate, table sea salt, stabilizers (locust bean seed flour, gellan gum), emulsifier (lecithins (sunflower)], vitamins (b2, b12, e, d2),;en:nuts;['en:nuts'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:plant-based-milk-substitutes'];b
3249760000654;https://images.openfoodfacts.org/images/products/324/976/000/0654/front_fr.85.400.jpg;Orangina;1,5 l;100ml;en:Plastic, en:Bottle;Orangina;['orangina'];NULL;Plant-based foods and beverages, Beverages, Plant-based beverages, Carbonated drinks, Fruit-based beverages, Sodas, Fruit sodas, Sweetened beverages, Aliments et boissons à base de végétaux, Boissons, Boissons aux fruits, Boissons avec sucre ajouté, Boissons gazeuses, Boissons sans alcool, Boissons à base de végétaux, Sodas aux fruits, Sodas à l'orange, en:orange-soft-drinks;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:carbonated-drinks', 'en:fruit-based-beverages', 'en:sodas', 'en:fruit-sodas', 'en:orange-soft-drinks', 'en:sweetened-beverages', 'en:aliments-et-boissons-a-base-de-vegetaux', 'en:boissons', 'en:boissons-aux-fruits', 'en:boissons-avec-sucre-ajoute', 'en:boissons-gazeuses', 'en:boissons-sans-alcool', 'en:boissons-a-base-de-vegetaux', 'en:sodas-aux-fruits', 'en:sodas-a-l-orange'];;[];Belgium,France,Switzerland;['en:belgium', 'en:france', 'en:switzerland'];carbonated water, orange juice and other citrus fruits made from conentrés 12% (orange 10%, lemon, tangerine, pompam, sugar, pulp 2% (0 of, tangerine), orange zest extract, preservatives: sodium benzoate, potassium sorbate, natural orange aromas,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
4000177158319;https://images.openfoodfacts.org/images/products/400/017/715/8319/front_en.75.400.jpg;Capri-Sun Multi Vitamin*;200 ml;100ml;fr:sachet plastique;Capri-Sun;['capri-sun'];NULL;Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons aux fruits,Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:sweetened-beverages'];;[];Belgique,France,Suisse;['en:belgium', 'en:france', 'en:switzerland'];water, fruit juices from concentrate lemon, orange, apple 1,8 grapefruit 0,77 banana, pineapple, 0,42 kiwi, 0,22 passion fruit, lime, sugar, vitamins (l, b3, e 86, b1, biotin, b12), natural flavours, antioxidant (ascorbic acid,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
