code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
5449000000996;https://images.openfoodfacts.org/images/products/544/900/000/0996/front_en.596.400.jpg;boisson Gazeuse Coca-Cola Classic;33cl;330ml;Métal,Recyclable Metals,Aluminium,Aluminium-can,Drink can aluminium,Green Dot,Canette;Coca-Cola;['coca-cola'];NULL;Boissons,Boissons gazeuses,Sodas,Sodas au cola,Cola sucré;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:boissons', 'en:boissons-gazeuses', 'en:cola-sucre', 'en:sodas-au-cola'];Végétarien,Végétalien,Point Vert;['en:point-vert', 'en:vegetalien', 'en:vegetarien'];France;['en:france'];carbonated water, sugar, colour (caramel e150d), phosphoric acid, natural flavourings (including caffeine);;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5449000131805;https://images.openfoodfacts.org/images/products/544/900/013/1805/front_en.490.400.jpg;Coca Cola Zero;0.33l;330ml;en:Metal,en:Recyclable Metals,en:Can,en:Drink can,en:aluminium-can;Coca-Cola;['coca-cola'];NULL;Напитки,Газирани напитки,Сода,en:Bebida de cola light,en:Bebidas,en:Bebidas carbonatadas,en:Bebidas de cola,en:Bebidas endulzadas artificialmente,en:Bebidas light,en:Bebidas no alcohólicas,en:Sodas light;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:bebida-de-cola-light', 'en:bebidas', 'en:bebidas-carbonatadas', 'en:bebidas-de-cola', 'en:bebidas-endulzadas-artificialmente', 'en:bebidas-light', 'en:bebidas-no-alcoholicas', 'en:sodas-light'];en:Contains a source of phenylalanine,en:Contiene una fuente de fenilalanina,en:Enthält eine Phenylalaninquelle,en:Ohne Zuckerzusatz,en:Vegano,en:Vegetariano,pl:Mało-cukru;['en:contains-a-source-of-phenylalanine', 'en:contiene-una-fuente-de-fenilalanina', 'en:enthalt-eine-phenylalaninquelle', 'en:ohne-zuckerzusatz', 'en:vegano', 'en:vegetariano', 'pl:mało-cukru'];Демократична република Конго,България;['en:bulgaria', 'en:democratic-republic-of-the-congo'];"carbonated water,  colour: e150d,  acidifiers: phosphoric acid,  sodium citrate,  sweeteners: aspartame,  acesulfame k,  natural aromas (including caffeine)  
contains a source of phenylalanine";;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
5449000214799;https://images.openfoodfacts.org/images/products/544/900/021/4799/front_en.163.400.jpg;Coca Cola zero;330 ml;330ml;Metal, Recyclable Metals, Aluminium, Can, Drink can;Cocacola,The Cocacola Company,Coca Cola;['cocacola', 'the-cocacola-company', 'coca-cola'];NULL;Bebidas,Bebidas carbonatadas,Bebidas endulzadas artificialmente,Sodas,Bebidas light,Bebidas no alcohólicas,Bebidas de cola,Sodas light,Bebida de cola light;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:non-alcoholic-beverages', 'en:colas', 'en:diet-sodas', 'en:diet-cola-soft-drink'];Sans matière grasse hydrogénée;['en:no-hydrogenated-fats'];Espagne;['en:spain'];"eau gazéifiée : colorant : E150d , acidifiant : acide phosphorique, édulcorants : aspartame, acésulfame-K ; arômes naturels dont caféine";;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:alcoholic-beverages'];b
8002270014901;https://images.openfoodfacts.org/images/products/800/227/001/4901/front_en.196.400.jpg;S.PELLEGRINO eau minérale naturelle gazeuse 1L;1000 ml;1g;Bouchon en plastique,Bouteille en plastique,nl:plastic fles, Bouteille, Boîte;San Pellegrino,S. pellegrino;['san-pellegrino', 's-pellegrino'];NULL;Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Eaux gazeuses,Eaux minérales naturelles,Eau minérale naturelle gazéifiée,Boissons sans sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:natural-mineral-waters', 'en:carbonated-natural-mineral-waters', 'en:unsweetened-beverages'];Végétarien,Végétalien,Point Vert,Triman;['en:vegetarian', 'en:vegan', 'en:green-dot', 'fr:triman'];France,Italie,Luxembourg,Pays-Bas,en:Belgique,en:Suisse;['en:france', 'en:italy', 'en:luxembourg', 'en:netherlands', 'en:belgique', 'en:suisse'];"Eau minérale naturelle avec adjonction de gaz carbonique



Strontium (Sr2+) : 2.9 mg/L
Nitrate: (NO3-) : 2.8 mg/L";;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
5449000133328;NULL;Coca Zéro;1litre;250ml;Plastique,Bouteille,en:pet-bottle;Coca-Cola;['coca-cola'];NULL;Boissons,Boissons gazeuses,Boissons édulcorées,Sodas,Boissons light,Sodas au cola,Sodas light,Sodas au cola light;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:colas', 'en:diet-sodas', 'en:diet-cola-soft-drink'];Contient une source de phénylalanine,Point Vert;['en:contains-a-source-of-phenylalanine', 'en:green-dot'];Algérie,Belgique,France,Allemagne,Italie,Maroc,Pologne,Portugal,Sénégal,Espagne,Suisse;['en:algeria', 'en:belgium', 'en:france', 'en:germany', 'en:italy', 'en:morocco', 'en:poland', 'en:portugal', 'en:senegal', 'en:spain', 'en:switzerland'];carbonated water, dye: e150d, acidifiers: phosphoric acid, sodium citrate, sweeteners: aspartame, acesulfame-k, natural aromas (vegetable extracts), including caffeine, contains a source of phenylalamine,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
7613035833272;https://images.openfoodfacts.org/images/products/761/303/583/3272/front_en.149.400.jpg;Perrier;1 l;serving;Kunststoff,PET - Polyethylenterephtalat;perrier;['perrier'];NULL;Getränke,Kohlensäurehaltige Getränke,Wasser,Quellwasser,Mineralwasser,Alkoholfreie Getränke,Selterswasser,Mineralwasser mit Kohlensäure,Ungezuckerte Getränke;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:carbonated-waters', 'en:carbonated-mineral-waters', 'en:unsweetened-beverages'];Grüner Punkt;['en:green-dot'];Belgien,Frankreich,Deutschland,Réunion,Schweiz;['en:belgium', 'en:france', 'en:germany', 'en:reunion', 'en:switzerland'];mineral water natural enhanced gas;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3068320123264;https://images.openfoodfacts.org/images/products/306/832/012/3264/front_fr.81.400.jpg;La salvetat;1,15 L;1 L;Plastic,Bottle;La Salvetat,Danone;['la-salvetat', 'danone'];NULL;Beverages,Carbonated drinks,Waters,Spring waters,Mineral waters,Carbonated waters,Natural mineral waters,Carbonated mineral waters;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:natural-mineral-waters', 'en:carbonated-mineral-waters'];;[];France;['en:france'];NULL;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
5449000267412;https://images.openfoodfacts.org/images/products/544/900/026/7412/front_en.94.400.jpg;;1,25 L;250ml;fr:Bouteille et bouchon plastique à recycler, fr:bouteille plastique;Coca-Cola;['coca-cola'];NULL;Bebidas,Bebidas carbonatadas,Sodas,Bebidas no alcohólicas,Bebidas de cola,Bebidas azucaradas;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:non-alcoholic-beverages', 'en:colas', 'en:sweetened-beverages'];fr:Triman;['fr:triman'];Bélgica,Francia,Alemania,España,Reino Unido;['en:belgium', 'en:france', 'en:germany', 'en:spain', 'en:united-kingdom'];carbonated water, sugar, coloring: e150d, acidifier, phosphoric acid, natural flavourings including caffeine,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5449000054227;https://images.openfoodfacts.org/images/products/544/900/005/4227/front_en.245.400.jpg;Coca-Cola;1l;250ml;Plastic,PET - Polyethylene terephthalate,Bottle,02 PE-HD,Pet-bottle,Pp-lid,Stück,fr:Bouchon en plastique,Plástico;Coca-Cola,The Coca-cola Company;['coca-cola', 'the-coca-cola-company'];NULL;en:Beverages,en:Carbonated drinks,en:Sodas,en:Non-Alcoholic beverages,en:Colas,en:Sweetened beverages;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:non-alcoholic-beverages', 'en:colas', 'en:sweetened-beverages'];en:Green Dot;['en:green-dot'];Argélia,Áustria,Bélgica,Bulgária,Camarões,França,Alemanha,Itália,Marrocos,Portugal,Reunião,Sérvia,Espanha,Suécia,Suíça,Turquia,Ucrânia,Reino Unido,en:portugal,Portugal;['en:algeria', 'en:austria', 'en:belgium', 'en:bulgaria', 'en:cameroon', 'en:france', 'en:germany', 'en:italy', 'en:morocco', 'en:portugal', 'en:reunion', 'en:serbia', 'en:spain', 'en:sweden', 'en:switzerland', 'en:turkey', 'en:ukraine', 'en:united-kingdom'];water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavourings (including caffeine),;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3068320114453;https://images.openfoodfacts.org/images/products/306/832/011/4453/front_fr.39.400.jpg;Badoit®;1 L;serving;Recycler, Bouchon plastique, Bouteille plastique;Badoit, Danone;['badoit', 'danone'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Eaux gazeuses, Eaux minérales gazeuses, Boissons sans sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:carbonated-waters', 'en:carbonated-mineral-waters', 'en:unsweetened-beverages'];;[];France,Pays-Bas,Suisse, en:belgium;['en:belgium', 'en:france', 'en:netherlands', 'en:switzerland'];natural mineral water with added carbon dioxide gas;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
