code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
5055953900582;https://images.openfoodfacts.org/images/products/505/595/390/0582/front_fr.22.400.jpg;Russian Earl Grey;150 g;NULL;Métal, Boîte, Couvercle en métal;Twinings;['twinings'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Infusions, Thés noirs;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas', 'en:black-teas'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];NULL
8712423044029;https://images.openfoodfacts.org/images/products/871/242/304/4029/front_fr.55.400.jpg;Lipton Thé Vert Bio Menthe Douce 20 Sachets Pyramid®;28 g;NULL;Sachet, Boîte, Film en plastique;Lipton;['lipton'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Thés verts, Thés à la menthe, Thés verts à la menthe;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:green-teas', 'en:mint-teas', 'en:green-teas-with-mint'];"Bio, Bio européen, Agriculture non UE, BE-BIO-01, Agriculture UE, Agriculture UE/Non UE, FR-BIO-01, Point Vert, PEFC, Rainforest Alliance, AB Agriculture Biologique



";['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:be-bio-01', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-01', 'en:green-dot', 'en:pefc', 'en:rainforest-alliance', 'fr:ab-agriculture-biologique'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
3502110009081;https://images.openfoodfacts.org/images/products/350/211/000/9081/front_fr.91.400.jpg;Lipton Ice Tea saveur Citron Citron Vert;1,5 L;250ml;Plastique, PET - Polytéréphtalate d'éthylène, Bouteille, Emballage plastique 100 % recyclé;Lipton,Unilever;['lipton', 'unilever'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Boissons sans alcool, Boissons au thé, Thés glacés, Thés glacés saveur citron, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:non-alcoholic-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:lemon-flavored-iced-teas', 'en:sweetened-beverages'];Bouteille 100 %plastique recyclé, Thé noir Rainforest Alliance 100 % vérifiés;['fr:bouteille-100-plastique-recycle', 'fr:the-noir-rainforest-alliance-100-verifies'];France,La Réunion,Suisse,en:france;['en:france', 'en:reunion', 'en:switzerland'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];d
8000550502827;https://images.openfoodfacts.org/images/products/800/055/050/2827/front.10.400.jpg;;500 g;serving;Plastica, Vasetto;Nestlé,Nesquik;['nestle', 'nesquik'];NULL;Bevande,Colazioni,en:cocoa-and-its-products,Bevande calde,Cacao e cioccolato in polvere,Bevande istantanee,Cioccolata in polvere;['en:beverages', 'en:breakfasts', 'en:cocoa-and-its-products', 'en:hot-beverages', 'en:cocoa-and-chocolate-powders', 'en:instant-beverages', 'en:chocolate-powders'];Senza glutine, Punto Verde;['en:no-gluten', 'en:green-dot'];France,Italie,Suisse;['en:france', 'en:italy', 'en:switzerland'];sugar, lean cocoa 20,3%, dyxsis, soy lecithin emulsifier, minerals (magnesium carbonate, ferric pyrophosphate, zinc sulfate), vitamins (c, thiamine, d), salt, cinnamon, aromas,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];NULL
8711000534694;https://images.openfoodfacts.org/images/products/871/100/053/4694/front_fr.73.400.jpg;Cicona;250 g;140 ml;Métal, Boîte, Boîte en carton, Opercule en métal;Cicona,Pates Grand'mere,Grand' Mère;['cicona', 'pates-grand-mere', 'grand-mere'];NULL;Aliments et boissons à base de végétaux,Boissons,Boissons chaudes,Boissons à base de végétaux,Boissons instantanées,Chicorée soluble;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:instant-beverages', 'en:instant-chicory'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];c
3560070502004;https://images.openfoodfacts.org/images/products/356/007/050/2004/front_fr.53.400.jpg;Thé vert menthe douce;32 g (20 x 1,6 g);1,6 g pour une tasse;CARREFOUR;Carrefour;['carrefour'];NULL;Aliments et boissons à base de végétaux,Boissons,Boissons chaudes,Boissons à base de végétaux,Thés,Thés verts,Infusions,Thés à la menthe;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:green-teas', 'en:herbal-teas', 'en:mint-teas'];Bio,Bio européen,Agriculture non UE,ES-ECO-020-CV,Agriculture UE,Agriculture UE/Non UE,AB Agriculture Biologique;['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:es-eco-020-cv', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'fr:ab-agriculture-biologique'];Belgique,France;['en:belgium', 'en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];b
3560071278793;https://images.openfoodfacts.org/images/products/356/007/127/8793/front_fr.39.400.jpg;Café Soluble pur Arabica;100 g;NULL;Verre, Bocal, Bouchon plastique;Carrefour Bio,Carrefour;['carrefour-bio', 'carrefour'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Boissons instantanées, Cafés solubles;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-coffees'];"Bio, Bio européen, Commerce équitable, en:CO-BIO-141, Max Havelaar, IGP, AB Agriculture Biologique, Max-havelaar-france





";['en:organic', 'en:eu-organic', 'en:fair-trade', 'en:co-bio-141', 'en:max-havelaar', 'en:max-havelaar-france', 'en:pgi', 'fr:ab-agriculture-biologique'];France, Espagne;['en:france', 'en:spain'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];NULL
3042061410012;https://images.openfoodfacts.org/images/products/304/206/141/0012/front_fr.50.400.jpg;Infusions Après-repas;25 sachets;1.5g;Sachet, Boîte, Carton;La Tisanière;['la-tisaniere'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Infusions, Tisanes de plantes mélangées, Infusions en sachets;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:herbal-tea-blends', 'en:herbal-teas-in-tea-bags'];;[];France;['en:france'];peppermint (45.9%), green anise (18.4%), liquorice, mint aromas (8.2%), verbena (4.6%), lemon balm,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];b
26033181;https://images.openfoodfacts.org/images/products/26033181/front_fr.48.400.jpg;Chicorée café;200 g;NULL;Verre, Bocal, Couvercle, Opercule, Plastique 05 (PP);Summa;['summa'];NULL;Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Plant-based beverages, Coffees, Instant beverages, Instant chicory, Instant mix of chicory and coffee powder, Unsweetened beverages, fr:Chicorée, en:instant-coffees;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:plant-based-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-coffees', 'en:instant-chicory', 'en:instant-mix-of-chicory-and-coffee-powder', 'en:unsweetened-beverages', 'fr:chicoree'];Green Dot, fr:Eco-Emballages, en:utz-certified;['en:sustainable-farming', 'en:green-dot', 'en:utz-certified', 'fr:eco-emballages'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];NULL
3251490481009;https://images.openfoodfacts.org/images/products/325/149/048/1009/front_fr.80.400.jpg;Cérécof;125g;NULL;Métal, Plastique, Boîte, Couvercle d'étanchéité plastique;Gerblé;['gerble'];NULL;Boissons, Boissons chaudes, Boissons instantanées;['en:beverages', 'en:hot-beverages', 'en:instant-beverages'];Point Vert, Fabriqué en Suisse, Sans caféine, Sans colorants, Sans conservateurs;['en:green-dot', 'en:made-in-swiss', 'en:no-caffeine', 'en:no-colorings', 'en:no-preservatives'];France;['en:france'];NULL;en:gluten;['en:gluten'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];NULL
