code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3256223099834;https://images.openfoodfacts.org/images/products/325/622/309/9834/front_fr.62.400.jpg;Boisson aux extraits de thé aromatisée saveur pêche;2 l;0.2L;Plastique, PET - Polytéréphtalate d'éthylène, Bouteille, Bouteille en plastique;U;['u'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons au thé, Thés glacés, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:sweetened-beverages'];Arômes naturels, Sans conservateurs, Transformé en France, Recyclé plastique;['en:natural-flavors', 'en:no-preservatives', 'en:transformed-in-france', 'fr:recycle-plastique'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
7613036348119;https://images.openfoodfacts.org/images/products/761/303/634/8119/front_fr.12.400.jpg;Ice Tea;1 L;NULL;Bouteille plastique;Nestea;['nestea'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons sans alcool, Boissons au thé, Thés glacés, Thés glacés saveur pêche, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:non-alcoholic-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas', 'en:sweetened-beverages'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];d
90167744;https://images.openfoodfacts.org/images/products/90167744/front_de.28.400.jpg;Pure Tea Bio Früchtetee;1 l;100g;Plastikflasche;Pfanner;['pfanner'];NULL;Pflanzliche Lebensmittel und Getränke,Getränke,Heißgetränke,Pflanzliche Getränke,Kräutertees,Früchtetees,Rote Früchtetees,Eistees;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:fruit-teas', 'en:iced-teas', 'en:red-fruit-teas'];Bio,EU-Öko-Verordnung,AB Agriculture Biologique;['en:organic', 'en:eu-organic', 'fr:ab-agriculture-biologique'];Deutschland;['en:germany'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];b
5000112630299;NULL;Fuzetea schwarzer Tee Zitrone;1L;250ml;Plastique;Fuzetea;['fuzetea'];NULL;Boissons, Thés glacés;['en:beverages', 'en:iced-teas'];;[];France, Germany;['en:france', 'en:germany'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
8712100720543;https://images.openfoodfacts.org/images/products/871/210/072/0543/front_fr.42.400.jpg;Ice tea pêche;1.5 L;250 ml;Bouteille plastique;Lipton;['lipton'];NULL;Boissons, Thés glacés, Thés glacés saveur pêche;['en:beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas'];Sans colorants, Eco Emballages;['en:no-colorings', 'fr:eco-emballages'];Belgium,France;['en:belgium', 'en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
42372370;https://images.openfoodfacts.org/images/products/42372370/front_de.38.400.jpg;Eistee Zero Pfirsich;1,5 l;250ml;Kunststoff, PET - Polyethylenterephtalat, Flasche, Einwegpfand;Solevita;['solevita'];NULL;Pflanzliche Lebensmittel und Getränke, Getränke, Pflanzliche Getränke, Getränke mit Süßstoff, Teegetränke, Eistees, Gezuckerte Getränke;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:artificially-sweetened-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:sweetened-beverages'];"Rainforest Alliance
, en:vegan";['en:vegetarian', 'en:vegan', 'en:rainforest-alliance'];Frankreich,Deutschland;['en:france', 'en:germany'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
8480000278661;https://images.openfoodfacts.org/images/products/848/000/027/8661/front_es.41.400.jpg;Te sabor limón cero;330ml;330ml;en:Metal, en:Recyclable Metals, 41 ALU, Green dot;Hacendado;['hacendado'];NULL;Beverages,Artificially sweetened beverages,Diet beverages,Iced teas,Light iced teas;['en:beverages', 'en:artificially-sweetened-beverages', 'en:diet-beverages', 'en:iced-teas', 'en:light-iced-teas'];No preservatives,No sugar,With sweeteners,Green Dot;['en:low-or-no-sugar', 'en:green-dot', 'en:no-preservatives', 'en:no-sugar', 'en:with-sweeteners'];Spain;['en:spain'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];c
3760214931008;https://images.openfoodfacts.org/images/products/376/021/493/1008/front_fr.113.400.jpg;Herbalist Bio Thé vert Grenade;1 L;200 mL;Brique, Carton, Elo-Pak;Herbalist Bio Infusions Véritables,Herbalist;['herbalist-bio-infusions-veritables', 'herbalist'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons au thé, Thés glacés;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:tea-based-beverages', 'en:iced-teas'];"Peu ou pas de sucre, Bio, Bio européen, Sans arômes artificiels, AB Agriculture Biologique, Agriculture UE/Non UE, FR-BIO-01, Fabriqué en France, Sans sucre ajouté, Sans colorants, Sans conservateurs, Clean Label, Sans extraits artificiels


";['en:low-or-no-sugar', 'en:organic', 'en:eu-organic', 'en:no-artificial-flavors', 'en:non-eu-agriculture', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-01', 'en:made-in-france', 'en:no-added-sugar', 'en:no-colorings', 'en:no-preservatives', 'fr:ab-agriculture-biologique', 'fr:clean-label', 'fr:sans-extraits-artificiels'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];d
7613356061927;https://images.openfoodfacts.org/images/products/761/335/606/1927/front_fr.17.400.jpg;Ice Tea Peach;1000 ml;250 ml;Brique;Coop;['coop'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Boissons au thé, Thés glacés, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:tea-based-beverages', 'en:iced-teas', 'en:sweetened-beverages'];"Commerce équitable, Max Havelaar, Fairtraide

";['en:fair-trade', 'en:max-havelaar', 'fr:fairtraide'];France,Suisse;['en:france', 'en:switzerland'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
20119232;https://images.openfoodfacts.org/images/products/20119232/front_fr.19.400.jpg;Iced Tea Mango;;NULL;;Freeway;['freeway'];NULL;Boissons, Boissons sans alcool, Thés glacés, Boissons avec sucre ajouté;['en:beverages', 'en:non-alcoholic-beverages', 'en:iced-teas', 'en:sweetened-beverages'];;[];Francia;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
