code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3502110008329;https://images.openfoodfacts.org/images/products/350/211/000/8329/front_en.74.400.jpg;Pepsi 1,5L;1500 ml;250ml;Plastic, PET - Polyethylene terephthalate, Bottle, fr:Bouchon en plastique;Pepsi;['pepsi'];NULL;Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Non-Alcoholic beverages, Colas, Sweetened beverages;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:non-alcoholic-beverages', 'en:colas', 'en:sweetened-beverages'];Green Dot;['en:green-dot'];France,Germany,en:belgium;['en:belgium', 'en:france', 'en:germany'];carbonated water, sugar, colour;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
8002270356520;https://images.openfoodfacts.org/images/products/800/227/035/6520/front_fr.47.400.jpg;Sanpellegrino limonata 33cl;330 ml;330g;Bouteille, Boîte de conserve ou canette, Canette, Boîte alu;San Pellegrino, S. pellegrino;['san-pellegrino', 's-pellegrino'];NULL;Boissons, Boissons gazeuses, Sodas, Boissons sans alcool, Boissons avec sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:non-alcoholic-beverages', 'en:sweetened-beverages'];;[];Belgique,France;['en:belgium', 'en:france'];water, concentrated lemon juice 16%, sugar, carbon dioxide, natural lemon aroma, antioxidant e300;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3124480167125;https://images.openfoodfacts.org/images/products/312/448/016/7125/front_fr.149.400.jpg;Citronnade L'Originale;1,5 L;200g;Plastique, Recycler, Bouteille, Bouteille et bouchon plastique à recycler, Pensez au tri!, Triman;Pulco;['pulco'];NULL;Boissons, Boissons sans alcool, Boissons avec sucre ajouté, Citronnades;['en:beverages', 'en:non-alcoholic-beverages', 'en:sweetened-beverages', 'fr:citronnades'];Peu ou pas de sucre, Peu de sucre, Allégé en sucre, Moins 30% de sucre, Arômes naturels, Sans colorants, Sans conservateurs, Sans édulcorants;['en:low-or-no-sugar', 'en:low-sugar', 'en:reduced-sugar', 'en:30-less-sugar', 'en:natural-flavors', 'en:no-colorings', 'en:no-preservatives', 'en:without-sweeteners'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
5411188115496;https://images.openfoodfacts.org/images/products/541/118/811/5496/front_fr.90.400.jpg;Soja Drink - ohne Zucker;1l;100g;Tetra Pak, Brique, Carton;Alpro;['alpro'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Légumineuses et dérivés, Boissons à base de végétaux, Substitut du lait, Boissons végétales, Boissons végétales de légumineuses, Boissons sans alcool, Boissons végétales de soja, Boissons végétales de soja nature;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:legume-milks', 'en:non-alcoholic-beverages', 'en:soy-milks', 'en:unsweetened-natural-soy-milks'];"Végétarien, Sans gluten, Végétalien, en:FSC, FSC Mix, Riche en protéines, Sans sucre ajouté, Sans OGM, Sans lactose, Nutriscore, Nutriscore A, Riche en protéines végétales, en:Fsc-c014047


";['en:vegetarian', 'en:no-gluten', 'en:vegan', 'en:fsc', 'en:fsc-mix', 'en:high-proteins', 'en:no-added-sugar', 'en:no-gmos', 'en:no-lactose', 'en:nutriscore', 'en:nutriscore-grade-a', 'en:rich-in-vegetable-protein', 'en:fsc-c014047'];Belgium,France,Germany, en:italy, en:luxembourg;['en:belgium', 'en:france', 'en:germany', 'en:italy', 'en:luxembourg'];juice soy 99% [water, soya beans non-gmo shelled (8,7%)], corrector of acidity (dipotassium, phosphate monopotassium);en:soybeans;['en:soybeans'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:plant-based-milk-substitutes'];a
8024884600301;https://images.openfoodfacts.org/images/products/802/488/460/0301/front_fr.46.400.jpg;Eau Mont Blanc;1,5 L;1l;Plastique, Bouteille;Mont Blanc;['mont-blanc'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Eaux minérales naturelles;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters'];Faible teneur en sodium, Sans nitrates;['en:low-sodium', 'fr:sans-nitrates'];France;['en:france'];average analysis in mg/l - calcium: magnesium: 2.4 sulfates: 32 potassium: 1.9 nitrates: ,lt,1 sodium: 1.6 chlorides: ,lt,1 ph: - dry extract at 180oc: 105 mg/- 29 bicarbonates: 65 7.6 fluorures: ,lt,1 e;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
4056489028109;https://images.openfoodfacts.org/images/products/405/648/902/8109/front_es.149.400.jpg;Bio ginger shot;150ml;100ml;Métal, en:Recyclable Metals, Tetra Pak, Aluminium, Boîte de conserve ou canette;Solevita;['solevita'];NULL;Pflanzliche Lebensmittel und Getränke,Getränke,Pflanzliche Getränke,Fruchtgetränke,Alkoholfreie Getränke;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:non-alcoholic-beverages'];Bio,EU-Öko-Verordnung,Nicht EU-Landwirtschaft,AT-BIO-301,EU-Landwirtschaft,EU-/Nicht-EU-Landwirtschaft,AB Agriculture Biologique;['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:at-bio-301', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'fr:ab-agriculture-biologique'];Bélgica,Francia,Alemania,España,Suiza,en:spain;['en:belgium', 'en:france', 'en:germany', 'en:spain', 'en:switzerland'];organic apple ginger lemon juice fruit juice content: 75%, ginger juice content: 25% ingredients 65% apple juice, ginger juice, 10% lemon juice, antioxidant ascorbic acid, les controlled biological farmer's dhait before opening qut shake, pandestens halthar up to: see can ned, nährwerte in 100 ml energy 142 kj/33 kal vettsauren, bmesabuoaes, 7.99 7.69 of which carbohydrates sugar far ,lt,0,01 g salt hermann pf drinks gmbh alte landstraße 10 a-69231;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];d
3270190113508;https://images.openfoodfacts.org/images/products/327/019/011/3508/front_en.182.400.jpg;Eau de source de montagne d'auvergne;6 x 1.5 l;NULL;Bouchon plastique, Bouteille plastique;Carrefour;['carrefour'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Boissons sans sucre ajouté;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:unsweetened-beverages'];;[];France,Guadeloupe;['en:france', 'en:guadeloupe'];eau;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3109850018511;https://images.openfoodfacts.org/images/products/310/985/001/8511/front_fr.124.400.jpg;Ultra-Concentré Réglisse Anis;13 cl;100ml;Verre, Bouteille;Antésite;['antesite'];NULL;Boissons, Sirops, Boissons sans alcool, Sirops aromatisés;['en:beverages', 'en:syrups', 'en:non-alcoholic-beverages', 'en:flavoured-syrups'];Peu ou pas de sucre, Fabriqué en France, Sans alcool, Sans colorants, Sans conservateurs, Sans sucre, Sans édulcorants;['en:low-or-no-sugar', 'en:made-in-france', 'en:no-alcohol', 'en:no-colorings', 'en:no-preservatives', 'en:no-sugar', 'en:without-sweeteners'];Frankreich, Französisch-Guayana, Schweiz, en:de;['en:france', 'en:french-guiana', 'en:germany', 'en:switzerland'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];NULL
5410188011326;https://images.openfoodfacts.org/images/products/541/018/801/1326/front_fr.89.400.jpg;Tropicana Multivitamines format familial 1.5 L;1500 ml;200 ml;Plastique, Bouteille;Tropicana;['tropicana'];NULL;Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Non-Alcoholic beverages, Multifruit juices, Squeezed juices, en:squeezed-multifruit-juices;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:non-alcoholic-beverages', 'en:multifruit-juices', 'en:squeezed-juices', 'en:squeezed-multifruit-juices'];Low or no sugar, No artificial flavors, Green Dot, No added sugar, fr:Contribue-a-votre-vitalite, en:no-preservatives;['en:low-or-no-sugar', 'en:no-artificial-flavors', 'en:green-dot', 'en:no-added-sugar', 'en:no-preservatives', 'fr:contribue-a-votre-vitalite'];Belgique,France;['en:belgium', 'en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
3068320118437;https://images.openfoodfacts.org/images/products/306/832/011/8437/front_fr.31.400.jpg;Eau gazeuse au citron;1l;100ml;Bouteille;Badoit;['badoit'];NULL;Boissons, Boissons gazeuses, Boissons édulcorées, Boissons sans alcool, Boissons avec sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:non-alcoholic-beverages', 'en:sweetened-beverages'];Sans colorants, Sans conservateurs;['en:no-colorings', 'en:no-preservatives'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
