code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3250390389019;https://images.openfoodfacts.org/images/products/325/039/038/9019/front_fr.29.400.jpg;Look Iced Tea 33cl - Saveur Pêche;33 cL;NULL;Boîte de conserve ou canette, Canette;Intermarché;['intermarche'];NULL;Boissons, Thés glacés, Boissons sans sucre ajouté;['en:beverages', 'en:iced-teas', 'en:unsweetened-beverages'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;25;kcal;0.5;g;0.1;g;6.3;g;6.1;g;0;g;0.5;g;0.1;g;0.04;g;25;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
4029764444956;NULL;;500ml;NULL;Glass Bottle;Loscher;['loscher'];NULL;Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Carbonated drinks, Herbal teas, Sodas, Iced teas;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:carbonated-drinks', 'en:herbal-teas', 'en:sodas', 'en:iced-teas'];Vegetarian, No gluten, Vegan;['en:vegetarian', 'en:no-gluten', 'en:vegan'];en:Germany;['en:germany'];water, glucose-fructose syrup, sugar, beverage base (mate, acidifier citric acid, caramelized sugar syrup, caffeine, natural flavor), carbonic acid;;[];100g;84;kJ;NULL;NULL;0;g;0;g;5;g;5;g;0;g;0;g;0;g;0;g;84;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
7640150495030;https://images.openfoodfacts.org/images/products/764/015/049/5030/front_de.4.400.jpg;Tereré - grenade;500 ml;NULL;Tetra Pak;Tererë;['terere'];NULL;Getränke, Eistees;['en:beverages', 'en:iced-teas'];Vegetarisch, Vegan;['en:vegetarian', 'en:vegan'];Germany,Switzerland;['en:germany', 'en:switzerland'];NULL;;[];100g;NULL;NULL;17;kcal;0.5;g;0.1;g;4;g;3.9;g;NULL;NULL;0.5;g;0.01;g;0.004;g;17;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
3350033374300;https://images.openfoodfacts.org/images/products/335/003/337/4300/front_fr.15.400.jpg;The vert saveur menthe;1.5l;NULL;;Monoprix;['monoprix'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons au thé, Thés glacés, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:sweetened-beverages'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;23;kcal;0;g;0;g;5.7;g;5.5;g;0;g;0;g;0.03;g;0.012;g;23;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
7616800204093;https://images.openfoodfacts.org/images/products/761/680/020/4093/front_en.32.400.jpg;Ice tea light;1 L;250ml;Brick, Container;Migros,ICE TEA;['migros', 'ice-tea'];NULL;Plant-based foods and beverages, Beverages, Plant-based beverages, Artificially sweetened beverages, Tea-based beverages, Iced teas, Sweetened beverages, en:teas;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:artificially-sweetened-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:sweetened-beverages'];"Agriculture durable, en:FSC, en:fsc-c014047, FSC Mix, Fabriqué en Suisse, en:UTZ Certified, Avec édulcorants

";['en:sustainable-farming', 'en:fsc', 'en:fsc-mix', 'en:made-in-swiss', 'en:utz-certified', 'en:with-sweeteners', 'en:fsc-c014047'];France,Suisse;['en:france', 'en:switzerland'];infusion of black tea and rose/flowers of carcadé (dosage of the dry extract : 1.3 g/l), lemon juice from concentrate 3.5 %, with fructose, sweetener : sucralose,;;[];100g;40;kJ;10;kcal;0.5;g;0;g;2.5;g;2;g;0;g;0;g;0;g;0;g;40;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
3564700734070;https://images.openfoodfacts.org/images/products/356/470/073/4070/front_fr.44.400.jpg;Fresh tea;25 cl;NULL;Plastique, Bouteille;Fresh Tea,Marque repère;['fresh-tea', 'marque-repere'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Boissons au thé, Thés glacés, Thés glacés saveur pêche, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:tea-based-beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas', 'en:sweetened-beverages'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;25;kcal;0.5;g;0.1;g;6.2;g;6.2;g;0.5;g;0.5;g;0.05;g;0.02;g;25;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
8718612000210;https://images.openfoodfacts.org/images/products/871/861/200/0210/front_de.22.400.jpg;Arizona Blueberry White Tea 500ML Pet-flasche;500 ml;NULL;Kunststoff;Arizona;['arizona'];NULL;Pflanzliche Lebensmittel und Getränke, Getränke, Heißgetränke, Pflanzliche Getränke, Tees, Eistees;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:iced-teas'];;[];Frankreich,Deutschland,en:germany;['en:france', 'en:germany'];NULL;;[];100g;NULL;NULL;20;kcal;0;g;0;g;5.2;g;4.9;g;NULL;NULL;0;g;0;g;0;g;20;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
3250392182373;https://images.openfoodfacts.org/images/products/325/039/218/2373/front_fr.24.400.jpg;Boisson iced tea saveur pêche;1 l;20 cl;Plastique, Bouteille;Look;['look'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons au thé, Thés glacés;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:tea-based-beverages', 'en:iced-teas'];Sans conservateurs;['en:no-preservatives'];France;['en:france'];NULL;;[];100g;NULL;NULL;25;kcal;0.5;g;0.1;g;6.3;g;6.1;g;NULL;NULL;0.5;g;0.05;g;0.02;g;25;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];d
0613008746858;https://images.openfoodfacts.org/images/products/061/300/874/6858/front_fr.14.400.jpg;Green Tea with Citrus;500 ml;250 ml;Plastique, Bouteille;Arizona;['arizona'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Boissons édulcorées, Thés glacés;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:artificially-sweetened-beverages', 'en:iced-teas'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;4;kcal;0;g;0;g;0.8;g;0.8;g;0;g;0;g;0;g;0;g;4;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
3256228034502;https://images.openfoodfacts.org/images/products/325/622/803/4502/front_fr.51.400.jpg;Boisson à base d'infusion de thé noir et verveine saveur pêche;1 l;NULL;Brique en carton;U;['u'];NULL;Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, Herbal teas, Iced teas, en:tea-based-beverages;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas', 'en:tea-based-beverages', 'en:iced-teas'];"en:FSC, Arômes naturels, Conditionné en France
";['en:fsc', 'en:natural-flavors', 'en:packaged-in-france'];France;['en:france'];NULL;;[];100g;119;kJ;28;kcal;0.5;g;0.1;g;7;g;6.9;g;0.5;g;0.5;g;0.01;g;0.004;g;119;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
