code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
8886303210238;https://images.openfoodfacts.org/images/products/888/630/321/0238/front_en.98.400.jpg;Lait de coco;200 ml;200g;Pot, Brick, Container, fr:Briquette en carton;Kara;['kara'];NULL;Plant-based foods and beverages, Beverages, Plant-based beverages, Milk substitute, Plant milks, Non-Alcoholic beverages, Coconut milks, Unsweetened beverages;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:non-alcoholic-beverages', 'en:coconut-milks', 'en:unsweetened-beverages'];"Kosher, FSC
";['en:kosher', 'en:fsc'];France,Switzerland;['en:france', 'en:switzerland'];fresh coconut extract (64%), water, thickeners (xanthan gum, guar gum and carrageenan);;[];100g;NULL;NULL;249;kcal;18;g;17;g;2.9;g;2.6;g;0;g;2.1;g;0.03;g;0.012;g;249;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:plant-based-milk-substitutes'];d
3124480184344;https://images.openfoodfacts.org/images/products/312/448/018/4344/front_fr.91.400.jpg;Orangina;33 cl  (Can-Slim);serving;Canette métal recyclabbe à l'infini,Cannette aluminium;Orangina,Orangina Schweppes France,Schweppes International Limited;['orangina', 'orangina-schweppes-france', 'schweppes-international-limited'];NULL;Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons gazeuses,Boissons aux fruits,Sodas,Sodas aux fruits,Boissons sans alcool,Sodas à l'orange,Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:carbonated-drinks', 'en:fruit-based-beverages', 'en:sodas', 'en:fruit-sodas', 'en:non-alcoholic-beverages', 'en:orange-soft-drinks', 'en:sweetened-beverages'];Sans arômes artificiels,Point Vert,Sans colorants,Canette métal à recycler;['en:no-artificial-flavors', 'en:green-dot', 'en:no-colorings', 'fr:canette-metal-a-recycler'];Belgique,France;['en:belgium', 'en:france'];carbonated water, orange juice and other citrus fruits made from concentrates 12% (orange 10%, lemon, tangerine, grapefruit), sugar, pulp 2% (orange, tangerine), orange zest extract, natural orange aromas,;;[];100g;174;kJ;41;kcal;0.1;g;0;g;9.7;g;9.6;g;NULL;NULL;0.1;g;0.02;g;0.008;g;174;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3564700371107;https://images.openfoodfacts.org/images/products/356/470/037/1107/front_fr.122.400.jpg;Eau de source de montagne Laqueuille;1.5 L;1500g;Plastique, PET - Polytéréphtalate d'éthylène, Bouteille, Bouteille plastique et son boucon à recycler;Marque repère,Laqueuille;['marque-repere', 'laqueuille'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Produits de montagne, Boissons sans alcool, Eaux de montagne;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:mountain-products', 'en:non-alcoholic-beverages', 'en:mountain-waters'];;[];France;['en:france'];water;;[];100g;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;1.5;mg;0.6;mg;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;0.28;mg;0.47;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
5449000131843;https://images.openfoodfacts.org/images/products/544/900/013/1843/front_bg.135.400.jpg;Кока кола без захар;2 л;250ml;Plástico, en:Recycle, PET, Botella, Green dot;Coca-Cola;['coca-cola'];NULL;Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Non-Alcoholic beverages, Carbonated soft drinks without fruit juice, Colas, Carbonated soft drink without fruit juice without sugar and with artificial sweeteners, en:diet-cola-soft-drink;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:non-alcoholic-beverages', 'en:carbonated-soft-drinks-without-fruit-juice', 'en:colas', 'en:diet-sodas', 'en:carbonated-soft-drink-without-fruit-juice-without-sugar-and-with-artificial-sweeteners', 'en:diet-cola-soft-drink'];Bajo o sin azúcar, Contiene una fuente de fenilalanina, Punto Verde, Sin azúcar, Con edulcorantes;['en:low-or-no-sugar', 'en:contains-a-source-of-phenylalanine', 'en:green-dot', 'en:no-sugar', 'en:with-sweeteners'];Belgium,Czech Republic,France,Germany,Spain,Sweden,Switzerland,Bulgaria;['en:belgium', 'en:bulgaria', 'en:czech-republic', 'en:france', 'en:germany', 'en:spain', 'en:sweden', 'en:switzerland'];carbonated water, coloring (e-150d), sweeteners (sodium cyclamate, acesulfame k, aspartame), acidulant (phosphoric acid), natural flavorings (contains caffeine), acidity corrector (sodium citrate),;;[];100g;0.9;kJ;0;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.02;g;0.008;g;0.9;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
3254381025887;https://images.openfoodfacts.org/images/products/325/438/102/5887/front_fr.90.400.jpg;Eau de source;1 l;serving;Bouteille en plastique,Bouchon en plastique;Cristaline;['cristaline'];NULL;Boissons,Eaux,Eaux de sources,Boissons sans alcool,Boissons sans sucre ajouté;['en:beverages', 'en:waters', 'en:spring-waters', 'en:non-alcoholic-beverages', 'en:unsweetened-beverages'];Sans-nitrates;['fr:sans-nitrates'];Belgique,France,Italie;['en:belgium', 'en:france', 'en:italy'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;18.25;mg;7.3;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.9;mg;82;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
5000112558265;https://images.openfoodfacts.org/images/products/500/011/255/8265/front_fr.130.400.jpg;Coca-Cola Zéro sucres;50 cl;250ml;Boîte de conserve ou canette, Canette, Bouchon en plastique, Bouchon plastique, Bouteille en plastique, Bouteille plastique, Etiquette plastique;Coca-Cola;['coca-cola'];NULL;Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Boissons sans alcool, Sodas au cola, Sodas light, Sodas au cola light;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:non-alcoholic-beverages', 'en:colas', 'en:diet-sodas', 'en:diet-cola-soft-drink'];Peu ou pas de sucre, Peu de sucre, Allégé en sucre, Sans sucre, Plant-bottle;['en:low-or-no-sugar', 'en:low-sugar', 'en:reduced-sugar', 'en:no-sugar', 'fr:plant-bottle'];Belgium,France,Switzerland, en:germany;['en:belgium', 'en:france', 'en:germany', 'en:switzerland'];NULL;;[];100g;4;kJ;0.3;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.02;g;0.008;g;4;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
5038862166508;https://images.openfoodfacts.org/images/products/503/886/216/6508/front_fr.97.400.jpg;Innocent jus ananas & fruit de la passion 900ml;900 ml;200ml;Frais, Bouchon plastique, Bouteille en plastique, Bouteille plastique;Innocent;['innocent'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Frais, Boissons aux fruits, Jus et nectars, Jus de fruits, Boissons sans alcool, Jus multifruits, Jus de fruits pur jus, Jus multifruits pur jus;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fresh-foods', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:non-alcoholic-beverages', 'en:multifruit-juices', 'en:squeezed-juices', 'en:squeezed-multifruit-juices'];"en:FSC, en:fsc-c095196, FSC Mix, Point Vert
";['en:fsc', 'en:fsc-mix', 'en:green-dot', 'en:fsc-c095196'];France,Suisse,en:france;['en:france', 'en:switzerland'];NULL;;[];100g;187;kj;44;kcal;0;g;0;g;10;g;8.9;g;0.4;g;0.4;g;0;g;0;g;187;kj;24;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
5000112558272;https://images.openfoodfacts.org/images/products/500/011/255/8272/front_fr.81.400.jpg;Coca-Cola;500 ml;100mg;Bouteille, Bouchon plastique, Bouteille plastique;Coca-Cola;['coca-cola'];NULL;Boissons, Boissons gazeuses, Sodas, Boissons sans alcool, Sodas au cola, Boissons avec sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:non-alcoholic-beverages', 'en:colas', 'en:sweetened-beverages'];;[];France,Suisse;['en:france', 'en:switzerland'];NULL;;[];100g;180;kj;NULL;NULL;0;g;0;g;10.6;g;10.6;g;0;g;0;g;0;g;0;g;180;kj;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3124480186850;https://images.openfoodfacts.org/images/products/312/448/018/6850/front_en.86.400.jpg;Indian tonic;33 cl;NULL;fr:Canette aluminium, en:aluminium-can;Schweppes;['schweppes'];NULL;Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Non-Alcoholic beverages, Tonic water, Sweetened beverages;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:non-alcoholic-beverages', 'en:tonic-water', 'en:sweetened-beverages'];fr:Entrepreneurs + Engagés;['fr:entrepreneurs-engages'];Belgique,France;['en:belgium', 'en:france'];carbonated water, sugar, acidifier: citric acid, natural aromas, aroma: quinine, sweeteners: acesulfame k and sucralose;;[];100g;NULL;NULL;25;kcal;0;g;0;g;5.8;g;5.8;g;NULL;NULL;0;g;0;g;0;g;25;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
5410221305085;https://images.openfoodfacts.org/images/products/541/022/130/5085/front_en.128.400.jpg;Schweppes Agrum';33 cl;100ml;Boîte de conserve ou canette, Canette;Orangina Schweppes,Schweppes;['orangina-schweppes', 'schweppes'];NULL;Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons sans alcool, Boissons avec sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:non-alcoholic-beverages', 'en:sweetened-beverages'];;[];Belgique,France,Luxembourg,Suisse;['en:belgium', 'en:france', 'en:luxembourg', 'en:switzerland'];carbonated water, sugar, orange extracts, acidifier: citric acid, preservative: e 202, sweeteners: acesulfame k and sucralose, modified starch, antioxidant: ascorbic acid, natural citrus flavors with other natural flavors, stabilizer e445, dye e142;;[];100g;NULL;NULL;24;kcal;0;g;0;g;5.7;g;5.7;g;NULL;NULL;0;g;0.01;g;0.004;g;24;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
