code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
1200101466593;https://images.openfoodfacts.org/images/products/120/010/146/6593/front_fr.84.400.jpg;Ocean Spray cranberry Sans Sucres Ajoutés;1.25 l;200ml;Plastique, Recycler, Bouteille, 30 % de RPET, Bouteille 30 % RPET, Bouteille en plastique recyclé;Ocean Spray;['ocean-spray'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Boissons édulcorées, Boissons à la canneberge;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:artificially-sweetened-beverages', 'en:beverages-with-cranberry'];Peu ou pas de sucre, Peu de sucre, Sans arômes artificiels, Allégé en sucre, Point Vert, Sans sucre ajouté, Sans colorants, Sans conservateurs;['en:low-or-no-sugar', 'en:low-sugar', 'en:no-artificial-flavors', 'en:reduced-sugar', 'en:green-dot', 'en:no-added-sugar', 'en:no-colorings', 'en:no-preservatives'];France;['en:france'];NULL;;[];100g;42;kJ;10;kcal;0;g;0;g;1.5;g;1.5;g;0;g;0;g;0.04;g;0.016;g;42;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];c
3270190128717;https://images.openfoodfacts.org/images/products/327/019/012/8717/front_fr.73.400.jpg;Boisson au soja nature;1 L;125 ml;Plastique,Bouchon de bouteille,Brique,Carton,Bouchon de bouteille de vin;Carrefour BIO,Groupe Carrefour,Carrefour;['carrefour-bio', 'groupe-carrefour', 'carrefour'];NULL;Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Légumineuses et dérivés,Boissons à base de végétaux,Substitut du lait,Boissons végétales,Boissons végétales de légumineuses,Boissons végétales de soja,Boisson au soja nature enrichie en calcium,Boissons sans sucre ajouté,Boissons végétales de soja nature;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:legume-milks', 'en:soy-milks', 'en:plain-soy-drink-fortified-with-calcium', 'en:unsweetened-beverages', 'en:unsweetened-natural-soy-milks'];Bio,Végétarien,Bio européen,Végétalien,Agriculture UE,FR-BIO-01,Riche en protéines,Fabriqué en France,Riche en protéines végétales,AB Agriculture Biologique,Agriculture France,Soja origine France;['en:organic', 'en:vegetarian', 'en:eu-organic', 'en:vegan', 'en:eu-agriculture', 'en:fr-bio-01', 'en:high-proteins', 'en:made-in-france', 'en:rich-in-vegetable-protein', 'fr:ab-agriculture-biologique', 'fr:agriculture-france', 'fr:soja-origine-france'];France,Maroc;['en:france', 'en:morocco'];"soy juice (water, gmo-free soybeans 8%)
ingredient from organic farming";en:soybeans;['en:soybeans'];100g;171;kJ;41;kcal;2.1;g;0.4;g;1.4;g;0.7;g;0.6;g;3.8;g;0.01;g;0.004;g;171;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:plant-based-milk-substitutes'];a
7613034541239;https://images.openfoodfacts.org/images/products/761/303/454/1239/front_fr.121.400.jpg;RICORE Noir Intense, Café & Chicorée, Boîte 240g;240 g;102 g (2 g + 100 ml d'eau);Métal, Plastique, Boîte, Boîte de conserve ou canette, Canette, Boîte en métal;Nestlé, Ricore;['nestle', 'ricore'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Boissons instantanées, Boissons sans alcool, Chicorée et café en poudre soluble, Boissons sans sucre ajouté, Aliments d'origine végétale, Cafés, Cafés solubles;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:plant-based-beverages', 'en:coffees', 'en:instant-beverages', 'en:non-alcoholic-beverages', 'en:instant-coffees', 'en:instant-mix-of-chicory-and-coffee-powder', 'en:unsweetened-beverages'];Point Vert, Fabriqué en France, Nutriscore, Nutriscore B, Saveurs de l'Année, Saveurs de l'Année 2015, Triman;['en:green-dot', 'en:made-in-france', 'en:nutriscore', 'en:nutriscore-grade-b', 'fr:saveurs-de-l-annee', 'fr:saveurs-de-l-annee-2015', 'fr:triman'];France, en:switzerland;['en:france', 'en:switzerland'];NULL;;[];100g;575;kJ;141;kcal;0.5;g;0.1;g;7.7;g;7.7;g;48.7;g;3;g;0.15;g;0.06;g;575;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];b
3192200002117;https://images.openfoodfacts.org/images/products/319/220/000/2117/front_fr.121.400.jpg;L'original - Jus de pomme pétillant;750 ml;200 ml;Verre, Bouteille, Armature métal, Bouchon liège;Champomy;['champomy'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons à base de végétaux, Boissons gazeuses, Boissons aux fruits, Jus et nectars, Jus de fruits;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:plant-based-beverages', 'en:carbonated-drinks', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices'];Peu ou pas de sucre, Sans sucre ajouté, Sans alcool, Sans colorants, Sans conservateurs;['en:low-or-no-sugar', 'en:no-added-sugar', 'en:no-alcohol', 'en:no-colorings', 'en:no-preservatives'];France,Allemagne;['en:france', 'en:germany'];NULL;;[];100g;195;kJ;46;kcal;0;g;0;g;11.5;g;10;g;NULL;NULL;0;g;0.01;g;0.004;g;195;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
4000177605004;NULL;Capri-Sun Multivitamin;200ml;200ml;Bag;Capri-Sun, Capri-Sonne;['capri-sun', 'capri-sonne'];NULL;Pflanzliche Lebensmittel und Getränke, Getränke, Pflanzliche Getränke, Fruchtgetränke, Säfte und Nektare, Fruchsäfte, Gezuckerte Getränke;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:sweetened-beverages'];Vegetarisch, Vegan, Ohne Konservierungsstoffe, en:Verified;['en:vegetarian', 'en:vegan', 'en:ohne-konservierungsstoffe', 'en:vegetarisch', 'en:verified'];Österreich,Frankreich,Deutschland,Réunion,Schweiz;['en:austria', 'en:france', 'en:germany', 'en:reunion', 'en:switzerland'];quellwasser, fruit juice based concentrate, zitrone, orange (apple, in grapefruit to, pineapple, that banana of, kiwi, passion fruit 0‚1 percent, lime), zucker, vitamine, vitamin c, e375, vitamin e, vitamin b6, thiamin, biotin, cobalamine, natürliches aroma, antioxidant (ascorbic acid);;[];100g;167;kJ;34;kcal;0;g;0;g;8.1;g;8;g;NULL;NULL;0;g;0;g;0;g;167;kJ;NULL;NULL;0.21;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
8997212610412;https://images.openfoodfacts.org/images/products/899/721/261/0412/front_fr.39.400.jpg;Lait de coco bio;200 ml;15ml;en:Brique;Kara;['kara'];NULL;Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Substitut du lait,Boissons végétales,Laits de coco;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:coconut-milks'];Bio,Halal,Sans additifs;['en:organic', 'en:halal', 'en:no-additives'];France;['en:france'];NULL;;[];100g;665;kJ;161;kcal;16;g;15;g;2.5;g;1.5;g;0.5;g;1.8;g;0.05;g;0.02;g;665;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:plant-based-milk-substitutes'];c
4056489249603;https://images.openfoodfacts.org/images/products/405/648/924/9603/front_fr.41.400.jpg;Jus de pomme;NULL;NULL;Bouchon en plastique, Bouteille en plastique;Lidl Solevita;['lidl-solevita'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons aux fruits, Boissons à base de végétaux, Jus de fruits, Jus de pomme, Jus et nectars, en:apple-juices;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:apple-juices', 'en:aliments-et-boissons-a-base-de-vegetaux', 'en:boissons', 'en:boissons-aux-fruits', 'en:boissons-a-base-de-vegetaux', 'en:jus-de-fruits', 'en:jus-de-pomme', 'en:jus-et-nectars'];NULL;NULL;en:fr;['en:france'];NULL;;[];100g;NULL;NULL;45;kcal;0.1;g;0;g;10;g;10;g;NULL;NULL;0.5;g;0;g;0;g;45;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
7394376615894;https://images.openfoodfacts.org/images/products/739/437/661/5894/front.3.400.jpg;Oatly Haferdrink Original;1 l;NULL;Tetra Pak, Tetra Brik Aseptic;Oatly;['oatly'];NULL;Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Plant-based beverages, Milk substitute, Plant milks, Cereal milks, Oat milks;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:cereal-milks', 'en:oat-milks'];"Organic, Vegetarian, EU Organic, Vegan, EU Agriculture, FSC, SE-EKO-01

";['en:organic', 'en:vegetarian', 'en:eu-organic', 'en:vegan', 'en:eu-agriculture', 'en:fsc', 'en:se-eko-01'];Österreich,Belgien,Frankreich,Deutschland,Deutschland;['en:austria', 'en:belgien', 'en:deutschland', 'en:frankreich'];water, oats (10%), sea salt;;['en:gluten'];100g;NULL;NULL;37;kcal;0.5;g;0.1;g;6.7;g;4.1;g;0.8;g;1;g;0.1;g;0.04;g;37;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:plant-based-milk-substitutes'];b
7613034227775;https://images.openfoodfacts.org/images/products/761/303/422/7775/front_fr.100.400.jpg;RICORE Original, Café & Chicorée, Recharge 180g;180 g;210g;Plastique,Sachet,Paquet;Nestlé;['nestle'];NULL;Plant-based foods and beverages,Beverages,Plant-based beverages,Instant beverages,Instant mix of chicory and coffee powder,Aliments d'origine végétale,Cafés,Cafés solubles;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:instant-beverages', 'en:instant-mix-of-chicory-and-coffee-powder', 'en:aliments-d-origine-vegetale', 'en:cafes', 'en:cafes-solubles'];Green Dot,Made in France,Nutriscore,Nutriscore Grade A, Triman;['en:green-dot', 'en:made-in-france', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman'];France;['en:france'];NULL;;[];100g;577;kJ;141;kcal;0.5;g;0.1;g;9.1;g;9.1;g;45.3;g;2.7;g;0.23;g;0.092;g;577;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];e
4056489236931;https://images.openfoodfacts.org/images/products/405/648/923/6931/front_fr.30.400.jpg;Jus d’orange;1l;150ml;Plastique;Solevita, Lidl;['solevita', 'lidl'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus d'orange, Jus de fruits pur jus, Jus d'orange pur jus;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:orange-juices', 'en:squeezed-juices', 'en:squeezed-orange-juices'];;[];France,en:france;['en:france'];NULL;;[];100g;NULL;NULL;43;kcal;0.2;g;0.1;g;9;g;9;g;NULL;NULL;0.7;g;0.01;g;0.004;g;43;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
