code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
20656935;https://images.openfoodfacts.org/images/products/20656935/front_fr.46.400.jpg;Pétillante saveur Citron.;1 l;200 ml;Plastique, Bouteille, Bouchon en plastique, Bouteille en plastique;Saguaro;['saguaro'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses, Eaux aromatisées, Eaux minérales gazeuses, Boissons sans sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:flavored-waters', 'en:carbonated-mineral-waters', 'en:unsweetened-beverages'];Peu ou pas de sucre, Sans sucre;['en:low-or-no-sugar', 'en:no-sugar'];Belgique,France;['en:belgium', 'en:france'];NULL;;[];100g;NULL;NULL;1;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.01;g;0.004;g;1;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];b
3,50211E+12;https://images.openfoodfacts.org/images/products/350/211/000/8329/front_en.74.400.jpg;Pepsi 1,5L;1500 ml;250ml;Plastic, PET - Polyethylene terephthalate, Bottle, fr:Bouchon en plastique;Pepsi;['pepsi'];NULL;Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Non-Alcoholic beverages, Colas, Sweetened beverages;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:non-alcoholic-beverages', 'en:colas', 'en:sweetened-beverages'];Green Dot;['en:green-dot'];France,Germany,en:belgium;['en:belgium', 'en:france', 'en:germany'];carbonated water, sugar, colour;;[];100g;119;kJ;28;kcal;0;g;0;g;7;g;7;g;NULL;NULL;0;g;0.01;g;0.004;g;119;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
8,00227E+12;https://images.openfoodfacts.org/images/products/800/227/035/6520/front_fr.47.400.jpg;Sanpellegrino limonata 33cl;330 ml;330g;Bouteille, Boîte de conserve ou canette, Canette, Boîte alu;San Pellegrino, S. pellegrino;['san-pellegrino', 's-pellegrino'];NULL;Boissons, Boissons gazeuses, Sodas, Boissons sans alcool, Boissons avec sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:non-alcoholic-beverages', 'en:sweetened-beverages'];;[];Belgique,France;['en:belgium', 'en:france'];water, concentrated lemon juice 16%, sugar, carbon dioxide, natural lemon aroma, antioxidant e300;;[];100g;NULL;NULL;34;kcal;0;g;0;g;07.aug;g;07.aug;g;0;g;0;g;0;g;0;g;34;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5,449E+12;https://images.openfoodfacts.org/images/products/544/900/001/7888/front_de.70.400.jpg;Coca Cola 1l;1000ml;250ml;Kunststoff, Flasche, Mehrwegpfand, PET Flasche;Coca-Cola;['coca-cola'];NULL;Getränke, Kohlensäurehaltige Getränke, Erfrischungsgetränke, Cola, Gezuckerte Getränke;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:colas', 'en:sweetened-beverages'];;[];Deutschland;['en:germany'];water, sugar, carbonic acid, dye e 150d, acidifier phosphoric acid, natural flavor, aroma caffeine,;;[];100g;450;kJ;42;kcal;0;g;0;g;10.iun;g;10.iun;g;0;g;0;g;0;g;0;g;450;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3,06832E+12;https://images.openfoodfacts.org/images/products/306/832/011/8437/front_fr.31.400.jpg;Eau gazeuse au citron;1l;100ml;Bouteille;Badoit;['badoit'];NULL;Boissons, Boissons gazeuses, Boissons édulcorées, Boissons sans alcool, Boissons avec sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:non-alcoholic-beverages', 'en:sweetened-beverages'];Sans colorants, Sans conservateurs;['en:no-colorings', 'en:no-preservatives'];France;['en:france'];NULL;;[];100g;NULL;NULL;15;kcal;0.5;g;0;g;03.mar;g;03.mar;g;NULL;NULL;0.5;g;0.06;g;0.024;g;15;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
5,449E+12;https://images.openfoodfacts.org/images/products/544/900/013/0389/front_en.94.400.jpg;Coca Cola;1.75l;250ml;en:Bottle,en:Pet-bottle,en:pet-cap;The Coca-Cola Company,Sainsbury’s,Coca-Cola;['the-coca-cola-company', 'sainsbury-s', 'coca-cola'];NULL;Napoje,Napoje gazowane,en:Sodas,en:Colas,Napoje słodzone;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:colas', 'en:sweetened-beverages'];;[];Austria,Czechy,Francja,Niemcy,Irak,Polska,Portugalia,Słowacja,Wielka Brytania;['en:austria', 'en:czech-republic', 'en:france', 'en:germany', 'en:iraq', 'en:poland', 'en:portugal', 'en:slovakia', 'en:united-kingdom'];carbonated water, sugar, colour (caramel e150d), phosphoric acid, natural flavourings including caffeine;;[];100g;NULL;NULL;45;kcal;0;g;0;g;11.feb;g;11.feb;g;NULL;NULL;0;g;0;g;0;g;45;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3,17973E+12;https://images.openfoodfacts.org/images/products/317/973/012/1884/front_fr.85.400.jpg;Perrier eau pétillante;50 cl;0.5l;Bouchon en plastique,Bouteille en plastique,Bouteille en plastique bouchons en plastique étiquette film plastique;Perrier;['perrier'];NULL;Boissons,Boissons gazeuses,Eaux,Eaux gazeuses,Nutri score A;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:carbonated-waters', 'fr:nutri-score-a'];;[];Belgique,France,Suisse;['en:belgium', 'en:france', 'en:switzerland'];tural mineral water fortified with gas from the spring;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;g;NULL;NULL;0.024;mg;0.0096;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;mg;150;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];NULL
3,12448E+12;https://images.openfoodfacts.org/images/products/312/448/018/4320/front_fr.128.400.jpg;Orangina et sa pulpe;33 cl;330ml;Métal, Boîte de conserve ou canette, Canette;Orangina;['orangina'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons gazeuses, Boissons aux fruits, Sodas, Sodas aux fruits, Boissons sans alcool, Sodas à l'orange, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:carbonated-drinks', 'en:fruit-based-beverages', 'en:sodas', 'en:fruit-sodas', 'en:non-alcoholic-beverages', 'en:orange-soft-drinks', 'en:sweetened-beverages'];Point Vert;['en:green-dot'];France,Inde;['en:france', 'en:india'];carbonated water, orange juice, and other citrus-based concentrate 12% (orange 10%, lemon, mandarin, grapefruit), sugar, pulp 2% (orange, tangerine) extract, orange zest, natural flavors of orange,;;[];100g;174;kJ;41;kcal;0.1;g;0;g;09.iul;g;09.iun;g;NULL;NULL;0.1;g;0.02;g;0.008;g;174;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3,17973E+12;https://images.openfoodfacts.org/images/products/317/973/236/8942/front_fr.72.400.jpg;Perrier citron vert;1 l;250ml;Bouchon en plastique,Bouteille en plastique;Perrier;['perrier'];NULL;Boissons,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Boissons sans alcool,Eaux gazeuses,Eaux aromatisées,Eaux minérales gazeuses,Boissons sans sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:carbonated-waters', 'en:flavored-waters', 'en:carbonated-mineral-waters', 'en:unsweetened-beverages'];Peu ou pas de sucre,Point Vert,Sans sucre;['en:low-or-no-sugar', 'en:green-dot', 'en:no-sugar'];Belgique,France;['en:belgium', 'en:france'];NULL;;[];100g;2;kJ;0;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0;g;0;g;2;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];b
90357473;https://images.openfoodfacts.org/images/products/90357473/front_fr.53.400.jpg;Coca-Cola Zero;330 ml;150 ml;Canette aluminium;COCA-COLA;['coca-cola'];NULL;Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Sodas au cola, Sodas light, Sodas au cola light;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:colas', 'en:diet-sodas', 'en:diet-cola-soft-drink'];Peu ou pas de sucre, Peu de sucre, Allégé en sucre, Sans sucre;['en:low-or-no-sugar', 'en:low-sugar', 'en:reduced-sugar', 'en:no-sugar'];Belgique,France,Suisse;['en:belgium', 'en:france', 'en:switzerland'];sparkling water, e150d dye, e338-e331 acidifiers, sweeteners: aspartame, acesulfame k, plant extracts, caffeine;;[];100g;NULL;NULL;0.3;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.02;g;0.008;g;0.3;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
