code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3,26385E+12;https://images.openfoodfacts.org/images/products/326/385/010/4213/front_fr.10.400.jpg;Chicorée café;250 g e;NULL;Métal, Plastique, Boîte;Leader Price;['leader-price'];NULL;Boissons, Boissons chaudes, Boissons instantanées, Boissons au café, Chicorées;['en:beverages', 'en:hot-beverages', 'en:instant-beverages', 'en:coffee-drinks', 'fr:chicorees'];Point Vert, Triman;['en:green-dot', 'fr:triman'];France;['en:france'];NULL;;[];100g;NULL;NULL;1;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;0;g;0;g;1;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];NULL
7,61303E+12;https://images.openfoodfacts.org/images/products/761/303/308/0517/front_fr.36.400.jpg;Café glacé;190ml;190 ml;;Frisco (nestle),Nestle;['frisco-nestle', 'nestle'];NULL;Boissons, Boissons au café, Cafés glacés;['en:beverages', 'en:coffee-drinks', 'en:iced-coffees'];en:made-in-switzerland;['en:made-in-swiss'];France,Switzerland;['en:france', 'en:switzerland'];Skimmed milk, 28% cream, sugar, glucose syrup, whey powder, skimmed milk powder, egg yolk, 0.7% coffee extract, stabilizers (guar gum, carob seed flour), caramelized sugar, concentrated fruits, vegetables and plants (safflower, apple, lemon, squash), invert sugar syrup, natural flavor. May contain nuts.;en:eggs,en:milk;['en:eggs', 'en:milk'];100g;NULL;NULL;201;kcal;18;g;05.iun;g;23;g;21;g;NULL;NULL;03.feb;g;0.13;g;0.052;g;201;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
8,48001E+12;https://images.openfoodfacts.org/images/products/848/001/019/1547/front_es.3.400.jpg;Capuccino;;NULL;;Eroski;['eroski'];NULL;Bebidas, Bebidas de café;['en:beverages', 'en:coffee-drinks'];;[];España;['en:spain'];;;[];100g;NULL;NULL;67;kcal;01.feb;g;0.8;g;11;g;11;g;NULL;NULL;3;g;0.17;g;0.068;g;67;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];e
7,61303E+12;https://images.openfoodfacts.org/images/products/761/303/431/0477/front_en.38.400.jpg;Double Choc Mocha;8 x 23 g;23g;Bag, Cardboard, Container, Mixed plastic-packet;Nescafe,Nescafe Gold;['nescafe', 'nescafe-gold'];NULL;Beverages, Coffee drinks;['en:beverages', 'en:coffee-drinks'];Vegetarian;['en:vegetarian'];France,United Kingdom;['en:france', 'en:united-kingdom'];Sugar, Skimmed MILK Powder (18%), Glucose Syrup, Drinking Chocolate (15%) (Sugar, Cocoa Powder), Fat-reduced Cocoa Powder (9%), Coconut Oil, Coffee (6%) [Instant Coffee (5.5%), Roast and Ground Coffee], LACTOSE, Acidity Regulators (Sodium Bicarbonațe, Citric Acid), Salt, Natural Flavouring.;en:milk,en:Skimmed Milk Powder;['en:milk', 'en:skimmed-milk-powder'];serving;1703;kJ;91;kcal;02.apr;g;01.sept;g;14.mar;g;11;g;01.apr;g;02.apr;g;0.24;g;0.096;g;1703;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
8,43526E+12;https://images.openfoodfacts.org/images/products/843/525/704/5924/front_fr.22.400.jpg;Shakissimo Cappuccino Zero;;NULL;;Nescafe;['nescafe'];NULL;Boissons, Boissons au café;['en:beverages', 'en:coffee-drinks'];Sans lactose;['en:no-lactose'];Francia,España;['en:france', 'en:spain'];NULL;;[];100g;NULL;NULL;42;kcal;0.1;g;0.1;g;05.iul;g;05.iul;g;NULL;NULL;4;g;0.2;g;0.08;g;42;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];d
3,42827E+12;https://images.openfoodfacts.org/images/products/342/827/417/0033/front_fr.14.400.jpg;Caffe Latte;220 ml;NULL;Bouteille;lactel;['lactel'];NULL;Boissons, Produits laitiers, Boissons lactées, Boissons au café, Boissons lactées au café;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:coffee-drinks', 'en:coffee-milks'];;[];France;['en:france'];NULL;;['en:milk'];100g;NULL;NULL;70;kcal;02.mai;g;01.mai;g;08.aug;g;08.mai;g;NULL;NULL;03.ian;g;0.1;g;0.04;g;70;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];b
8,7116E+12;https://images.openfoodfacts.org/images/products/871/159/600/1075/front_fr.3.400.jpg;Bambu;200 g;NULL;Bocal;A.Vogel;['a-vogel'];NULL;Boissons, Boissons au café;['en:beverages', 'en:coffee-drinks'];"Bio, Bio européen, DE-ÖKO-005, Agriculture UE/Non UE, Sans caféine

";['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:de-oko-005', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:no-caffeine'];France,Pays-Bas,Belgique;['en:belgium', 'en:france', 'en:netherlands'];;en:gluten;['en:gluten'];100g;NULL;NULL;358;kcal;0.5;g;0.5;g;82;g;16;g;NULL;NULL;30.999.999.046.326;g;0.44999998807907;g;0.179999995231628;g;358;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];e
20036935;https://images.openfoodfacts.org/images/products/20036935/front_en.36.400.jpg;Latte Macchiato;250 ml;250ml;Metal, Plastic, Recyclable Metals, Aluminium, PP - Polypropylene;Milbona,Lidl,Molkerei Gropper;['milbona', 'lidl', 'molkerei-gropper'];NULL;en:Coffee drinks with milk;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:coffee-drinks', 'en:coffee-drinks-with-milk'];en:Rainforest Alliance;['en:rainforest-alliance'];Frankrike,Storbritannien,Sverige;['en:france', 'en:sweden', 'en:united-kingdom'];74% Whole _Milk_, 17% Arabica Coffee, 5% Cream (_Milk_), Sugar, Stabilisers: Sodium Carbonates, Carrageenan;en:milk;['en:milk'];100g;332;kJ;79;kcal;04.ian;g;02.iun;g;07.iul;g;07.iul;g;0.5;g;02.aug;g;0.15;g;0.06;g;332;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;35;mg;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
4,04532E+12;https://images.openfoodfacts.org/images/products/404/531/705/4656/front_de.32.400.jpg;Der Eiskaffee;0,25 l;NULL;Metall, Wiederverwertbare Metalle, Aluminium;Bärenmarke;['barenmarke'];NULL;Getränke, Kaffeegetränke, Eiskaffees, Gezuckerte Getränke;['en:beverages', 'en:coffee-drinks', 'en:iced-coffees', 'en:sweetened-beverages'];;[];Deutschland;['en:germany'];NULL;en:milk;['en:milk'];100g;247;kJ;59;kcal;01.mai;g;0.9;g;08.feb;g;7;g;NULL;NULL;02.aug;g;0.18;g;0.072;g;247;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
40255248;https://images.openfoodfacts.org/images/products/40255248/front_de.7.400.jpg;Kaffee cappucino;250 ml;NULL;Kunststoff;müller;['muller'];NULL;Getränke, Kaffeegetränke, Gezuckerte Getränke;['en:beverages', 'en:coffee-drinks', 'en:sweetened-beverages'];;[];en:Germany;['en:germany'];low-fat milk, 13% arabica-robusta coffee blend (water, soluble coffee), sugar, low-fat cocoa powder, milk protein, modified starch, acidity regulator sodium citrates, stabilizer carrageenan, flavor,;en:milk;['en:milk'];100g;NULL;NULL;65;kcal;01.feb;;0.8;;10;;08.sept;;NULL;NULL;0;;0.21;;0.084;g;65;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
