code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
8,43526E+12;https://images.openfoodfacts.org/images/products/843/525/704/5672/front_es.38.400.jpg;Kefir;500 g;NULL;;Nestlé;['nestle'];NULL;Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Kéfir;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:kefir'];;[];France, en:spain;['en:france', 'en:spain'];NULL;;[];100g;NULL;NULL;44;kcal;01.mai;g;0.9;g;03.sept;g;03.sept;g;0;g;03.apr;g;0.1;g;0.04;g;44;kcal;0.75;µg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];d
4,0255E+12;https://images.openfoodfacts.org/images/products/402/550/025/9464/front_de.29.400.jpg;Ayran;500 ml;100ml;Kunststoff;Müller;['muller'];NULL;Getränke, Milchprodukte, Fermentierte Lebensmittel, Fermentierte Milch, Milchgetränke, Fermentierte Getränke, Fermentierte Milchgetränke, Dugh und Ayran, Ayran;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:doogh-and-ayran', 'en:ayran'];;[];Deutschland;['en:germany'];Getränk mit Joghurt, Irinkwasser und Sab : 80 % Joghurt, Trink wasser, Speisesalz. o Nährwertangaben je 100 ml 159 kJ /;;['en:milk'];100g;159;kJ;38;kcal;02.ian;g;01.apr;g;01.sept;g;01.sept;g;NULL;NULL;02.ian;g;0.68;g;0.272;g;159;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];c
3,03349E+12;https://images.openfoodfacts.org/images/products/303/349/123/3692/front_fr.28.400.jpg;Danonino à boire Pêche-abricot & Fraise-banane;;NULL;;Danone;['danone'];NULL;Boissons,Produits laitiers,Produits fermentés,Produits laitiers fermentés,Boissons lactées,Boissons fermentées,Boissons lactées fermentées,Yaourts,Yaourts à boire;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:drinkable-yogurts'];Sans arômes artificiels;['en:no-artificial-flavors'];France;['en:france'];NULL;en:milk;['en:milk'];100g;NULL;NULL;71;kcal;01.iun;g;1;g;11.feb;g;10.iul;g;NULL;NULL;02.sept;g;0.1;g;0.04;g;71;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3,32977E+12;https://images.openfoodfacts.org/images/products/332/977/006/4065/front_fr.17.400.jpg;Petit filous;100G;NULL;Bouteille;Petits Filous,Yoplait;['petits-filous', 'yoplait'];NULL;Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Yaourts, Yaourts à boire;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:drinkable-yogurts'];;[];France;['en:france'];"skimmed milk based on milk powder - sugar 7.9% - creme – natural flavour – milk mineral concentrate – lactic ferments (milk) – vitamin d, 
milk of france origin";en:milk;['en:milk'];100g;NULL;NULL;65;kcal;0.8;g;0.5;g;10.iun;g;10.mai;g;NULL;NULL;3;g;0.1;g;0.04;g;65;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;120;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
8,41013E+12;https://images.openfoodfacts.org/images/products/841/012/827/6003/front_en.23.400.jpg;Bifrutas tropical;;NULL;;Pascual;['pascual'];NULL;Alimentos y bebidas de origen vegetal,Bebidas,Lácteos,Bebidas de origen vegetal,Bebida lácteas,Bebidas a base de frutas,Bebidas de fruta y leche;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:dairies', 'en:plant-based-beverages', 'en:dairy-drinks', 'en:fruit-based-beverages', 'en:fruit-and-milk-beverages'];Sin gluten,FSC;['en:no-gluten', 'en:fsc'];España;['en:spain'];;;[];100g;NULL;NULL;21;kcal;0;g;0;g;04.aug;g;04.aug;g;NULL;NULL;0.3;g;0.03;g;0.012;g;21;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];b
5,71195E+12;NULL;Cappuccino;220 ml;220g;Plastic, Paper;Starbucks;['starbucks'];NULL;Beverages,Dairies,Dairy drinks,Non-Alcoholic beverages,Coffee drinks,Coffee milks,Sweetened beverages;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:non-alcoholic-beverages', 'en:coffee-drinks', 'en:coffee-milks', 'en:sweetened-beverages'];Fair trade,fr:fairtrade-maxhavelaar;['en:fair-trade', 'fr:fairtrade-maxhavelaar'];France,Germany,Italy,Switzerland,Austria;['en:austria', 'en:france', 'en:germany', 'en:italy', 'en:switzerland'];3% fat milk (75%), starbucks coffee (water and coffee extract)(19,5%), sugar (5%), fat-reduced cocoa powder (0,1%), natural flavorings, acidity regulator (potassium carbonate), stabilizers (carrageeran, guar gum), emulsifiers (mono - and diglycerides of fatty acides of vegetables),;;[];100g;297;kJ;69;kcal;02.mai;g;01.iun;g;08.aug;g;08.mai;g;NULL;NULL;0;g;0.08;g;0.032;g;297;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
8,4127E+12;https://images.openfoodfacts.org/images/products/841/270/072/0096/front_es.21.400.jpg;Cacaolat sin lactosa;1 l;NULL;Plástico, Botella;Cacaolat;['cacaolat'];NULL;Bebidas,Lácteos,Bebida lácteas,Leches aromatizadas,Leches de chocolate;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:flavoured-milks', 'en:chocolate-milks'];Sin lactosa;['en:no-lactose'];España;['en:spain'];NULL;en:milk;['en:milk'];100g;NULL;NULL;40;kcal;0.5;g;0.3;g;04.mar;g;04.ian;g;3;g;02.iul;g;0.1;g;0.04;g;40;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];c
8,4117E+12;https://images.openfoodfacts.org/images/products/841/170/000/5837/front_es.40.400.jpg;Batido de chocolate 90% leche;1200ml;200ml;;Puleva;['puleva'];NULL;Beverages,Dairies,Dairy drinks,Flavoured milks,Chocolate milks;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:flavoured-milks', 'en:chocolate-milks'];Low or no sugar,Low sugar,No gluten,Reduced sugar,40% less sugar,Calcium source,Contains milk,High proteins,Vitamin D source,Without sweeteners;['en:low-or-no-sugar', 'en:low-sugar', 'en:no-gluten', 'en:reduced-sugar', 'en:40-less-sugar', 'en:calcium-source', 'en:contains-milk', 'en:high-proteins', 'en:vitamin-d-source', 'en:without-sweeteners'];France,Spain;['en:france', 'en:spain'];milk partially skim at 1.2% mg (90%), sugar, cocoa (minimum 0.9%), stabilizers e-407, e-460, e-466 and e-339), aroma and vitamin d,;en:milk;['en:milk'];100g;260;kJ;62;kcal;01.feb;g;0.8;g;09.mai;g;09.mai;g;NULL;NULL;03.feb;g;0.18;g;0.072;g;260;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;96;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
42114314;https://images.openfoodfacts.org/images/products/42114314/front_de.36.400.jpg;Müllermilch Banane;400 ml;NULL;Kunststoff;Müller;['muller'];NULL;Getränke, Milchprodukte, Milchgetränke;['en:beverages', 'en:dairies', 'en:dairy-drinks'];;[];Deutschland, Switzerland;['en:germany', 'en:switzerland'];low-fat milk, butter - milk, glucose, sugar, milk - sugar, 0.09 % banana puree, 0.02 % banana puree concentrate, modified starch, stabilizer carrageena, flavor (contains milk), vitamin e, vitamin b1 (thiamine), vitamin 82 (riboflavin), vitamin b6,;en:milk;['en:milk'];100g;284;kJ;67;kcal;01.apr;g;0.9;g;10.mai;g;10;g;0;g;03.feb;g;0.14;g;0.056;g;284;kJ;NULL;NULL;NULL;NULL;0.28;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3,32977E+12;https://images.openfoodfacts.org/images/products/332/977/007/5313/front_fr.7.400.jpg;Yop fraise;NULL;NULL;NULL;NULL;NULL;NULL;Boissons, Produits laitiers, Boissons lactées;['en:beverages', 'en:dairies', 'en:dairy-drinks'];NULL;NULL;en:fr;['en:france'];NULL;;[];100g;NULL;NULL;65;kcal;0.8;g;0.5;g;10.iun;g;10.mai;g;NULL;NULL;3;g;0.12;g;0.048;g;65;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];e
