code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
4,05649E+12;https://images.openfoodfacts.org/images/products/405/648/900/5568/front_en.56.400.jpg;Kong Strong;0.25l;250 ml;Can, Drink can;Kong Strong;['kong-strong'];NULL;Beverages, Artificially sweetened beverages, Non-Alcoholic beverages, Energy drinks, Sweetened beverages, Unsweetened beverages;['en:beverages', 'en:artificially-sweetened-beverages', 'en:non-alcoholic-beverages', 'en:energy-drinks', 'en:sweetened-beverages', 'en:unsweetened-beverages'];Contains a source of phenylalanine;['en:contains-a-source-of-phenylalanine'];Francia,España,Reino Unido;['en:france', 'en:spain', 'en:united-kingdom'];carbonated water, sugar, acid: citric acid, acidity regulator: sodium citrates, 0,35% taurine, colour: caramel, caffeine, sweeteners: acesulfame k, aspartame, flavouring, niacin, pantothenic acid, vitamin b12;;[];100g;94;kJ;23;kcal;0;g;0;g;04.sept;g;04.sept;g;0.5;g;0.4;g;0.23;g;0.092;g;94;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
90376863;https://images.openfoodfacts.org/images/products/90376863/front_fr.15.400.jpg;Red bull zero calories - redbull;250ml;250ml;Canette métallique;red bull,redbull;['red-bull', 'redbull'];NULL;Boissons, Boissons édulcorées, Boissons énergisantes, Redbull;['en:beverages', 'en:artificially-sweetened-beverages', 'en:energy-drinks', 'fr:redbull'];Contient une source de phénylalanine;['en:contains-a-source-of-phenylalanine'];France;['en:france'];NULL;;[];100g;NULL;NULL;2;kcal;0;;0;;0;;0;;0;g;0;;0.05;;0.02;g;2;kcal;NULL;NULL;2;mg;2;µg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
5,06034E+12;https://images.openfoodfacts.org/images/products/506/033/563/5228/front_de.71.400.jpg;Monster Energy 500ML Dose;500 ml;500ml;Metall, Wiederverwertbare Metalle, Aluminium, Dose, Konserve;Monster;['monster'];NULL;Getränke,Getränke mit Süßstoff,Alkoholfreie Getränke,Energy-Drinks,Gezuckerte Getränke;['en:beverages', 'en:artificially-sweetened-beverages', 'en:non-alcoholic-beverages', 'en:energy-drinks', 'en:sweetened-beverages'];Hergestellt in der EU;['en:made-in-the-eu'];Deutschland;['en:germany'];NULL;;[];100g;201;kJ;47;kcal;0;g;0;g;12;g;11;g;NULL;NULL;0;g;0.19;g;0.076;g;201;kJ;NULL;NULL;0.004;g;1.3e-05;g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5,449E+12;https://images.openfoodfacts.org/images/products/544/900/026/5104/front_en.74.400.jpg;Coca-Cola Energy No Sugar;250ml;250ml;Metal, Recyclable Metals, Aluminium, Can, Drink can;coca-cola;['coca-cola'];NULL;Beverages,Carbonated drinks,Artificially sweetened beverages,Sodas,Diet beverages,Non-Alcoholic beverages,Colas,Diet sodas,Energy drinks,Diet cola soft drink;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:non-alcoholic-beverages', 'en:colas', 'en:diet-sodas', 'en:energy-drinks', 'en:diet-cola-soft-drink'];;[];Belgium,France,Ireland,Luxembourg,Netherlands,Spain,Norway;['en:belgium', 'en:france', 'en:ireland', 'en:luxembourg', 'en:netherlands', 'en:norway', 'en:spain'];eau gazéifiée, e330, e338, e150d, e500, acésulfame-k, sucralose, caféine (0.03%), e211, e202 niacine, vitamine b6, extrait de guarana (0.001%).;;[];100g;01.sept;kJ;0.4;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0;g;0;g;01.sept;kJ;NULL;NULL;0.15;mg;NULL;NULL;NULL;NULL;NULL;NULL;32;mg;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
7,61329E+12;https://images.openfoodfacts.org/images/products/761/328/716/8436/front_en.9.400.jpg;Perrier Energize - Caféine & yerba maté;33 cl;330ml;Métal, en:Recyclable Metals, Aluminium;Perrier;['perrier'];NULL;Beverages, Waters, Energy drinks, Flavored waters, Bottled water flavoured with sugar, Energy drink with sugar, en:carbonated-drinks;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:energy-drinks', 'en:flavored-waters', 'en:bottled-water-flavoured-with-sugar', 'en:energy-drink-with-sugar'];"Organic, EU Organic
, en:nutriscore";['en:organic', 'en:eu-organic', 'en:nutriscore'];France;['en:france'];;;[];100g;41;kJ;10;kcal;0;g;0;g;2;g;2;g;NULL;NULL;0;g;0;g;0;g;41;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;30;mg;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
5,06064E+12;https://images.openfoodfacts.org/images/products/506/063/912/1915/front_es.23.400.jpg;Mango loco bebida energética con taurina y ginseng;500 ml;100 ml;Lata;Monster Energy;['monster-energy'];NULL;Bebidas,Bebidas endulzadas artificialmente,Bebidas energéticas,Bebidas azucaradas;['en:beverages', 'en:artificially-sweetened-beverages', 'en:energy-drinks', 'en:sweetened-beverages'];;[];España;['en:spain'];agua carbonatada, zumo de frutas a base de concenta ova blanca, mango, guayaba, manzana, piña , fruto de la pasion abn ctrio on, naranja, limón), sacarosa jarabe de glucosa, acidula con de zumo de frutas, taurin ctrico), taurina (0,4%), correctores de acidez (citratos de potasiu tr sodio), aromas, maltodextrina, conservadores (sorbato potaásic s0oico), cafeina (0,03%), vitaminas (b2, b3, b6, b12), estabilizante antana, alginató sodičo), edulcorañte (sucralosa), l-carwiti .04), cloruro sódico, inositol (0,002%), colorante (cardtern4 vebgetales (coco, semillas de colza), almidón modificado. nostol evitaminas d0 complexo b com açúcares e edulcorante nida energetica gaseificada com sumo de fruta, taurina cafema c ngredientes: agua gaseificada, sumo de frutas eladoradoa oncentrados (15%) (uva branca, manga, goiaba, maçă amamas amasco, pessego, laranja, limão), sacarose, xarope de gucodse do citrico), taurina (0,4%), reguladores de acidez (c1tratis iatos de sodio), aromas, maltodextrina, conservantes so tato de sodio), cafeina (0.03%), vitaminas (82. 83, 00. 8d, b ma xantana, alginato de sodio), edulcorante (suchalose atarato (0.004%). cloreto de sódio, inositol (0.002%, comant vigetais (coco, semente de colza), amido modificado wformacion ineormagão nutricional val;;[];100g;203;kJ;48;kcal;0;g;0;g;12;g;11;g;NULL;NULL;0;g;0;g;0;g;203;kJ;NULL;NULL;0.8;mg;02.mai;µg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
8,48E+12;https://images.openfoodfacts.org/images/products/848/000/027/9446/front_es.35.400.jpg;Bebida energética light;250 ml;250ml;Green dot;Hacendado;['hacendado'];NULL;Beverages,Energy drinks,Energy drink without sugar and with artificial sweeteners;['en:beverages', 'en:energy-drinks', 'en:energy-drink-without-sugar-and-with-artificial-sweeteners'];Low or no sugar,No gluten,Not advised for specific people,Contains a source of phenylalanine,Green Dot,No sugar,Not advised for children and pregnant women,With sweeteners;['en:low-or-no-sugar', 'en:no-gluten', 'en:not-advised-for-specific-people', 'en:contains-a-source-of-phenylalanine', 'en:green-dot', 'en:no-sugar', 'en:not-advised-for-children-and-pregnant-women', 'en:with-sweeteners'];Spain;['en:spain'];NULL;;[];100g;12.mar;kJ;02.aug;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.15;g;0.06;g;12.mar;kJ;NULL;NULL;2;mg;2;µg;NULL;NULL;NULL;NULL;32;mg;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
5,06034E+12;https://images.openfoodfacts.org/images/products/506/033/563/4184/front_fr.33.400.jpg;Monster Energy méga;553 ml;250 ml;Métal, Boîte de conserve ou canette, Canette;Monster;['monster'];NULL;Boissons, Boissons gazeuses, Boissons édulcorées, Boissons énergisantes;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:energy-drinks'];Point Vert;['en:green-dot'];France;['en:france'];NULL;;[];100g;NULL;NULL;37;kcal;0;g;0;g;09.apr;g;08.apr;g;NULL;NULL;0;g;0.21;g;0.084;g;37;kcal;NULL;NULL;0.8;mg;02.mai;µg;NULL;NULL;NULL;NULL;36;mg;0.4;g;['en:beverages', 'en:sweetened-beverages'];e
5,06064E+12;https://images.openfoodfacts.org/images/products/506/063/912/7375/front_es.13.400.jpg;Monster Energy Ultra Paradise;500 ml;NULL;;Monster,Monster Energy;['monster', 'monster-energy'];NULL;Bebidas, Bebidas energéticas;['en:beverages', 'en:energy-drinks'];;[];Spain;['en:spain'];NULL;;[];100g;12;kJ;3;kcal;0;g;0;g;0.9;g;0;g;NULL;NULL;0;g;0.16;g;0.064;g;12;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];b
9,00249E+12;https://images.openfoodfacts.org/images/products/900/249/020/0381/front_en.8.400.jpg;Redbull Sugar Free;4x250ml;250ml;Metal, Recyclable Metals, Aluminium, Cardboard;Red Bull;['red-bull'];NULL;Beverages, Energy drinks, Sweetened beverages, en:artificially-sweetened-beverages;['en:beverages', 'en:artificially-sweetened-beverages', 'en:energy-drinks', 'en:sweetened-beverages'];;[];en:Ireland, en:france;['en:france', 'en:ireland'];32 mg/100 ml). Consume moderately. haredients: Water, Acid (Citric Acid), Carbon Diaide faurnine (0.4%), Acidity Regulators (Sodium C Magnesium Carbonates), Sweeteners (Acesuliame Agoriome), Caffeine (0.03%), Vitamins (Niacin rigthenic Acid, B6, B12, Flavourings, Thickener xanthan Gum), Colours (Plain Caramel, Riboflavin) Cantrains a source of Phenyialanine;;[];100g;NULL;NULL;3;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.1;g;0.04;g;3;kcal;NULL;NULL;2;mg;2;µg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];b
