code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3,50211E+12;https://images.openfoodfacts.org/images/products/350/211/001/0056/front_fr.32.400.jpg;Lipton Green Ice Tea saveur pêche blanche 1 L;1000 ml;250 ml;Bouteille;Lipton;['lipton'];NULL;Boissons, Boissons édulcorées, Boissons au thé, Thés glacés;['en:beverages', 'en:artificially-sweetened-beverages', 'en:tea-based-beverages', 'en:iced-teas'];Point Vert;['en:green-dot'];France;['en:france'];NULL;;[];100g;43;kJ;10;kcal;0.5;g;0.1;g;02.apr;g;02.feb;g;NULL;NULL;0.5;g;0;g;0;g;43;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
3,50211E+12;https://images.openfoodfacts.org/images/products/350/211/001/0810/front_fr.36.400.jpg;Lipton Green Ice Tea saveur citron vert menthe;500 ml;250 ml;Bouteille, Bouchon en plastique, Bouteille en plastique;Lipton;['lipton'];NULL;Beverages, Artificially sweetened beverages, Tea-based beverages, Sweetened beverages, en:iced-teas;['en:beverages', 'en:artificially-sweetened-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:sweetened-beverages'];Point Vert;['en:green-dot'];France;['en:france'];NULL;;[];100g;43;kJ;10;kcal;0.5;g;0.1;g;02.mar;g;02.feb;g;NULL;NULL;0.5;g;0;g;0;g;43;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
3,50211E+12;https://images.openfoodfacts.org/images/products/350/211/000/9081/front_fr.91.400.jpg;Lipton Ice Tea saveur Citron Citron Vert;1,5 L;250ml;Plastique, PET - Polytéréphtalate d'éthylène, Bouteille, Emballage plastique 100 % recyclé;Lipton,Unilever;['lipton', 'unilever'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Boissons sans alcool, Boissons au thé, Thés glacés, Thés glacés saveur citron, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:non-alcoholic-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:lemon-flavored-iced-teas', 'en:sweetened-beverages'];Bouteille 100 %plastique recyclé, Thé noir Rainforest Alliance 100 % vérifiés;['fr:bouteille-100-plastique-recycle', 'fr:the-noir-rainforest-alliance-100-verifies'];France,La Réunion,Suisse,en:france;['en:france', 'en:reunion', 'en:switzerland'];NULL;;[];100g;80;kJ;19;kcal;0;g;0;g;04.iun;g;04.mai;g;0;g;0;g;0.01;g;0.004;g;80;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];d
8,48E+12;https://images.openfoodfacts.org/images/products/848/000/027/8050/front_es.57.400.jpg;té limón 0;1,5 l;NULL;Plástico, PET, 5 L., Botella plastico de 1, Green dot;Hacendado;['hacendado'];NULL;Beverages, Artificially sweetened beverages, Diet beverages, Iced teas, Light iced teas, en:tea-based-beverages;['en:beverages', 'en:artificially-sweetened-beverages', 'en:diet-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:light-iced-teas'];Low or no sugar,Green Dot,No preservatives,No sugar,With sweeteners;['en:low-or-no-sugar', 'en:green-dot', 'en:no-preservatives', 'en:no-sugar', 'en:with-sweeteners'];Spain;['en:spain'];water, acidulant (malic acid), tea extract 0,08%, acidity corrector (sodium citrates), sweeteners (sucralose, acesulfame k), aromas,;;[];100g;04.mar;kJ;1;kcal;0;g;0;g;0.09;g;0.09;g;0;g;0.01;g;0.05;g;0.02;g;04.mar;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];c
8,7227E+12;https://images.openfoodfacts.org/images/products/872/270/000/9276/front_fr.53.400.jpg;Lipton Ice Tea saveur pêche 25 cl;250 ml;250 ml;Plastique, Bouteille;Lipton;['lipton'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons au thé, Thés glacés, Thés glacés saveur pêche, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas', 'en:sweetened-beverages'];Peu ou pas de sucre, Peu de sucre, Allégé en sucre, Moins 30% de sucre, Sans colorants, Sans conservateurs, Point Vert;['en:low-or-no-sugar', 'en:low-sugar', 'en:reduced-sugar', 'en:30-less-sugar', 'en:green-dot', 'en:no-colorings', 'en:no-preservatives'];France;['en:france'];NULL;;[];100g;82;kJ;19;kcal;0;g;0;g;04.iun;g;04.mai;g;NULL;NULL;0;g;0.025;g;0.01;g;82;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];d
7,6168E+12;https://images.openfoodfacts.org/images/products/761/680/020/4086/front_de.60.400.jpg;Ice Tea;1l;250g;Bottle, Container, Tetra Pak;Migros,Bischofszell;['migros', 'bischofszell'];NULL;Aliments et boissons à base de végétaux,Boissons,Boissons chaudes,Boissons à base de végétaux,Thés,Boissons sans alcool,Boissons au thé,Thés glacés,Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:non-alcoholic-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:sweetened-beverages'];Agriculture durable,en:UTZ Certified;['en:sustainable-farming', 'en:utz-certified'];Frankreich, Schweiz, Germany;['en:france', 'en:germany', 'en:switzerland'];infusion of black tea and rose hips/carcade blossom (extract content: 1.2g/l), sugar, lemon juice from concentrate 2%;;[];100g;NULL;NULL;28;kcal;0.5;g;0;g;06.sept;g;06.sept;g;0;g;0;g;0;g;0;g;28;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
26062648;https://images.openfoodfacts.org/images/products/26062648/front_fr.49.400.jpg;Thé glacé pêche;1,5L;NULL;;Fruima;['fruima'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons sans alcool, Boissons au thé, Thés glacés, Thés glacés saveur pêche;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:non-alcoholic-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;32;kcal;0.5;g;0;g;07.iul;g;07.iun;g;0;g;0.5;g;0.01;g;0.004;g;32;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
9,0069E+12;https://images.openfoodfacts.org/images/products/900/690/001/4858/front_de.42.400.jpg;Grüner Tee;2l;NULL;84 C/PAP;Pfanner;['pfanner'];NULL;Boissons, Thés glacés;['en:beverages', 'en:iced-teas'];Végétarien, Végétalien;['en:vegetarian', 'en:vegan'];en:Germany;['en:germany'];NULL;;[];100g;111;kJ;26;kcal;0.5;g;0.1;g;06.feb;g;06.feb;g;0;g;0.5;g;0.01;g;0.004;g;111;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
3,16893E+12;https://images.openfoodfacts.org/images/products/316/893/016/4463/front_fr.21.400.jpg;Pure Leaf Thé infusé glacé bio saveur pêche gourmande 1 L;1000 ml;250 ml;Bouteille, Bouchon en plastique, Bouteille en plastique;Pure leaf;['pure-leaf'];NULL;thé glacé;['en:beverages', 'en:iced-teas'];"Organic, EU Organic, FR-BIO-13, Green Dot, AB Agriculture Biologique

, en:eu-non-eu-agriculture";['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-13', 'en:green-dot', 'fr:ab-agriculture-biologique'];en:fr;['en:france'];NULL;;[];100g;80;kJ;19;kcal;0.5;g;0.1;g;04.iul;g;04.apr;g;NULL;NULL;0.5;g;0;g;0;g;80;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];d
3,16893E+12;https://images.openfoodfacts.org/images/products/316/893/016/5033/front_fr.26.400.jpg;Lipton Ice Tea saveur pêche touche de miel 1,5 L;1500 ml;250 ml;Plastique, Bouteille, Bouchon en plastique, Bouteille en plastique;Lipton;['lipton'];NULL;Boissons,Thés glacés,Thés glacés saveur pêche,Boissons avec sucre ajouté;['en:beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas', 'en:sweetened-beverages'];Point Vert,Triman;['en:green-dot', 'fr:triman'];France;['en:france'];water,sugar,honey (0.6%),black tea extract⁽¹⁾ (1.2 g/l),natural flavors,acidifiers (citric acid, malic acid),antioxidant (ascorbic acid),⁽¹⁾ verified rainforest alliance, more information on ra,org, people and nature, human and nature,;;[];100g;70;kJ;17;kcal;0.5;g;0.1;g;4;g;03.sept;g;NULL;NULL;0.5;g;0;g;0;g;70;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
