code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
5449000214799;https://images.openfoodfacts.org/images/products/544/900/021/4799/front_en.163.400.jpg;Coca Cola zero;330 ml;330ml;Metal, Recyclable Metals, Aluminium, Can, Drink can;Cocacola,The Cocacola Company,Coca Cola;['cocacola', 'the-cocacola-company', 'coca-cola'];NULL;Bebidas,Bebidas carbonatadas,Bebidas endulzadas artificialmente,Sodas,Bebidas light,Bebidas no alcohólicas,Bebidas de cola,Sodas light,Bebida de cola light;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:non-alcoholic-beverages', 'en:colas', 'en:diet-sodas', 'en:diet-cola-soft-drink'];Sans matière grasse hydrogénée;['en:no-hydrogenated-fats'];Espagne;['en:spain'];"eau gazéifiée : colorant : E150d , acidifiant : acide phosphorique, édulcorants : aspartame, acésulfame-K ; arômes naturels dont caféine";;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:alcoholic-beverages'];b
3502110009449;https://images.openfoodfacts.org/images/products/350/211/000/9449/front_fr.134.400.jpg;Tropicana 100% oranges pressées sans pulpe 1 L;1000 ml;150 ml;Plastique, Bouteille, Bouteille en plastique;Tropicana;['tropicana'];NULL;Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit juices, Non-Alcoholic beverages, Orange juices, Squeezed juices, Squeezed orange juices, fr:jus-d-orange-sans-pulpe;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:non-alcoholic-beverages', 'en:orange-juices', 'en:squeezed-juices', 'en:squeezed-orange-juices', 'fr:jus-d-orange-sans-pulpe'];Point Vert,Sans sucre ajouté,Sans colorants,Sans conservateurs,Pur jus;['en:green-dot', 'en:no-added-sugar', 'en:no-colorings', 'en:no-preservatives', 'en:pure-juice'];Belgique,France,Luxembourg,La Réunion,Suisse;['en:belgium', 'en:france', 'en:luxembourg', 'en:reunion', 'en:switzerland'];orange juice,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
7613035833272;https://images.openfoodfacts.org/images/products/761/303/583/3272/front_en.149.400.jpg;Perrier;1 l;serving;Kunststoff,PET - Polyethylenterephtalat;perrier;['perrier'];NULL;Getränke,Kohlensäurehaltige Getränke,Wasser,Quellwasser,Mineralwasser,Alkoholfreie Getränke,Selterswasser,Mineralwasser mit Kohlensäure,Ungezuckerte Getränke;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:carbonated-waters', 'en:carbonated-mineral-waters', 'en:unsweetened-beverages'];Grüner Punkt;['en:green-dot'];Belgien,Frankreich,Deutschland,Réunion,Schweiz;['en:belgium', 'en:france', 'en:germany', 'en:reunion', 'en:switzerland'];mineral water natural enhanced gas;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
7613036249928;https://images.openfoodfacts.org/images/products/761/303/624/9928/front_fr.280.400.jpg;VITTEL eau minérale naturelle 1,5L;1500 ml;serving;Bouteille, Bouchon en plastique, Bouchon plastique, Bouteille en plastique, Bouteille plastique;Vittel;['vittel'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Eaux minérales naturelles, Boissons sans sucre ajouté;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters', 'en:unsweetened-beverages'];Point Vert, Source thermale, Triman;['en:green-dot', 'fr:triman', 'fr:source-thermale'];Belgium,France,Luxembourg,en:france;['en:belgium', 'en:france', 'en:luxembourg'];natural mineral water;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3068320120256;https://images.openfoodfacts.org/images/products/306/832/012/0256/front_en.61.400.jpg;;1.5 L;250ml;Bottle, 6x1.5l, fr:Bouchon en plastique, fr:bouteille plastique, nl:pet-fles, nl:plastic fles;Evian;['evian'];NULL;Beverages,Waters,Spring waters,Mineral waters,Non-Alcoholic beverages,Natural mineral waters,Unsweetened beverages;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters', 'en:unsweetened-beverages'];Point Vert,fr:evian,Triman;['en:green-dot', 'fr:triman', 'fr:evian'];Belgique,France,Luxembourg,Suisse,en:france;['en:belgium', 'en:france', 'en:luxembourg', 'en:switzerland'];natural mineral water;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
5449000267412;https://images.openfoodfacts.org/images/products/544/900/026/7412/front_en.94.400.jpg;;1,25 L;250ml;fr:Bouteille et bouchon plastique à recycler, fr:bouteille plastique;Coca-Cola;['coca-cola'];NULL;Bebidas,Bebidas carbonatadas,Sodas,Bebidas no alcohólicas,Bebidas de cola,Bebidas azucaradas;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:non-alcoholic-beverages', 'en:colas', 'en:sweetened-beverages'];fr:Triman;['fr:triman'];Bélgica,Francia,Alemania,España,Reino Unido;['en:belgium', 'en:france', 'en:germany', 'en:spain', 'en:united-kingdom'];carbonated water, sugar, coloring: e150d, acidifier, phosphoric acid, natural flavourings including caffeine,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5449000054227;https://images.openfoodfacts.org/images/products/544/900/005/4227/front_en.245.400.jpg;Coca-Cola;1l;250ml;Plastic,PET - Polyethylene terephthalate,Bottle,02 PE-HD,Pet-bottle,Pp-lid,Stück,fr:Bouchon en plastique,Plástico;Coca-Cola,The Coca-cola Company;['coca-cola', 'the-coca-cola-company'];NULL;en:Beverages,en:Carbonated drinks,en:Sodas,en:Non-Alcoholic beverages,en:Colas,en:Sweetened beverages;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:non-alcoholic-beverages', 'en:colas', 'en:sweetened-beverages'];en:Green Dot;['en:green-dot'];Argélia,Áustria,Bélgica,Bulgária,Camarões,França,Alemanha,Itália,Marrocos,Portugal,Reunião,Sérvia,Espanha,Suécia,Suíça,Turquia,Ucrânia,Reino Unido,en:portugal,Portugal;['en:algeria', 'en:austria', 'en:belgium', 'en:bulgaria', 'en:cameroon', 'en:france', 'en:germany', 'en:italy', 'en:morocco', 'en:portugal', 'en:reunion', 'en:serbia', 'en:spain', 'en:sweden', 'en:switzerland', 'en:turkey', 'en:ukraine', 'en:united-kingdom'];water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavourings (including caffeine),;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3033710065783;https://images.openfoodfacts.org/images/products/303/371/006/5783/front_en.184.400.jpg;Le Choco;500 g;221.4 g (1 tasse (15 g + 200 ml de lait 1/2 écrémé));Boîte,Boîte de conserve ou canette,Canette,Couvercle Plastique,Opercule en métal,Opercule plastique;Nestlé,Le chocolat;['nestle', 'le-chocolat'];NULL;Boissons,Petit-déjeuners,Cacao et dérivés,Boissons chaudes,Cacaos et chocolats en poudre,Boissons instantanées,Boissons sans alcool,Cacaos en poudre,Chocolats en poudre,Poudre cacaotée pour boisson sucrée;['en:beverages', 'en:breakfasts', 'en:cocoa-and-its-products', 'en:hot-beverages', 'en:cocoa-and-chocolate-powders', 'en:instant-beverages', 'en:non-alcoholic-beverages', 'en:cocoa-powders', 'en:chocolate-powders', 'en:cocoa-powder-for-beverages-with-sugar'];Sans gluten,Point Vert,Fabriqué en France,Nutriscore,Nutriscore A;['en:no-gluten', 'en:green-dot', 'en:made-in-france', 'en:nutriscore', 'en:nutriscore-grade-a'];Belgique,France,Guadeloupe,Martinique,Nouvelle-Calédonie,La Réunion;['en:belgium', 'en:france', 'en:guadeloupe', 'en:martinique', 'en:new-caledonia', 'en:reunion'];"chocolate powder 98%
sugar,  cocoa,  emulsifier : soya lecithin,  aroma,  cinnamon, 
cocoa : 32% minimum";en:soybeans;['en:soybeans'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];b
3068320114453;https://images.openfoodfacts.org/images/products/306/832/011/4453/front_fr.39.400.jpg;Badoit®;1 L;serving;Recycler, Bouchon plastique, Bouteille plastique;Badoit, Danone;['badoit', 'danone'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Eaux gazeuses, Eaux minérales gazeuses, Boissons sans sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:carbonated-waters', 'en:carbonated-mineral-waters', 'en:unsweetened-beverages'];;[];France,Pays-Bas,Suisse, en:belgium;['en:belgium', 'en:france', 'en:netherlands', 'en:switzerland'];natural mineral water with added carbon dioxide gas;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
5449000232250;https://images.openfoodfacts.org/images/products/544/900/023/2250/front_fr.184.400.jpg;Thé glacé pêche intense;1.25L;250ml;Plastique, Bouteille;Fuze Tea;['fuze-tea'];NULL;Boissons, Boissons édulcorées, Boissons sans alcool, Boissons au thé, Thés glacés, Thés glacés saveur pêche, Boissons avec sucre ajouté;['en:beverages', 'en:artificially-sweetened-beverages', 'en:non-alcoholic-beverages', 'en:tea-based-beverages', 'en:iced-teas', 'en:peach-flavored-iced-teas', 'en:sweetened-beverages'];Avec édulcorants;['en:with-sweeteners'];France;['en:france'];;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
