code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3,03371E+12;https://images.openfoodfacts.org/images/products/303/371/007/1005/front_fr.190.400.jpg;RICORE au Lait, Café & Chicorée, Boîte 400g;400 g;168.8g;Métal, Plastique, Boîte, Boîte de conserve ou canette, Canette, Acier, Boîte en métal;Nestlé, Ricore;['nestle', 'ricore'];NULL;Beverages, it:caffè solubile, en:instant-chicory;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:instant-beverages', 'en:instant-chicory', 'it:caffe-solubile'];Green Dot, Made in France, Nutriscore, fr:Triman, en:nutriscore-grade-a;['en:green-dot', 'en:made-in-france', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman'];France,La Réunion,Suisse;['en:france', 'en:reunion', 'en:switzerland'];NULL;en:milk;['en:milk'];100g;1818;kJ;434;kcal;15.mai;g;09.iun;g;53;g;39;g;11;g;15;g;1;g;0.4;g;1818;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;530;mg;NULL;NULL;NULL;NULL;[];e
3,06714E+12;https://images.openfoodfacts.org/images/products/306/714/001/3120/front_fr.154.400.jpg;Chicorée soluble nature;200 g;5 g;Verre,Opercule,Couvercle plastique;LEROUX;['leroux'];NULL;Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Petit-déjeuners,Boissons chaudes,Boissons à base de végétaux,Cafés,Boissons instantanées,Chicorée soluble,Chicorée;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:hot-beverages', 'en:plant-based-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-chicory', 'fr:chicoree'];Sans gluten,Source de fibres alimentaires,Riche en fibres,Sans caféine;['en:no-gluten', 'en:source-of-fibre', 'en:high-fibres', 'en:no-caffeine'];France,Espagne;['en:france', 'en:spain'];100% soluble chicory;;[];100g;1327;kJ;316;kcal;01.ian;g;0.5;g;57;g;26;g;32;g;03.iun;g;0.38;g;0.152;g;1327;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];e
5,41119E+12;https://images.openfoodfacts.org/images/products/541/118/811/5366/front_en.118.400.jpg;Avena;1l;NULL;HDPE 2,C/PAP 84;Alpro;['alpro'];NULL;Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Plant-based beverages,Milk substitute,Plant milks,Cereal milks,Oat milks,Unsweetened beverages;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:cereal-milks', 'en:oat-milks', 'en:unsweetened-beverages'];Low or no fat,Low fat,Vegetarian,Source of fibre,Vegan,100% vegetable,Calcium source,Do not freeze,FSC,FSC Mix,Green Dot,High fibres,Made in the EU,No added sugar,No colorings,No lactose,No preservatives,The Vegan Society,Vitamin B12 source,Vitamin D source,Without addition of dairy products,Vitamin-b2-source;['en:low-or-no-fat', 'en:low-fat', 'en:vegetarian', 'en:source-of-fibre', 'en:vegan', 'en:100-vegetable', 'en:calcium-source', 'en:do-not-freeze', 'en:fsc', 'en:fsc-mix', 'en:green-dot', 'en:high-fibres', 'en:made-in-the-eu', 'en:no-added-sugar', 'en:no-colorings', 'en:no-lactose', 'en:no-preservatives', 'en:the-vegan-society', 'en:vitamin-b12-source', 'en:vitamin-d-source', 'en:without-addition-of-dairy-products', 'en:vitamin-b2-source'];Belgium,Czech Republic,France,Germany,Italy,Portugal,United Kingdom;['en:belgium', 'en:czech-republic', 'en:france', 'en:germany', 'en:italy', 'en:portugal', 'en:united-kingdom'];oat  base (water,  oat  9,8%), soluble corn fibre, sunflower oil, calcium (tri-calcium phosphate), sea salt, stabiliser (gellan gum), vitamins (b2, b12, d2),;en:gluten;['en:gluten'];100g;192;kJ;46;kcal;01.mai;g;0.1;g;07.feb;g;03.mar;g;01.mai;g;0.3;g;0.09;g;0.036;g;192;kJ;NULL;NULL;NULL;NULL;0.38;mg;NULL;NULL;120;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:plant-based-milk-substitutes'];a
8,42335E+12;https://images.openfoodfacts.org/images/products/842/335/286/1402/front_en.45.400.jpg;Bebida de avena;1 l;200ml;Tetra Brik;ALITEY;['alitey'];NULL;Alimentos y bebidas de origen vegetal,Bebidas,Alimentos de origen vegetal,Cereales y patatas,Cereales y derivados,Bebidas de origen vegetal,Sustitutos de la leche,Bebidas vegetales,Bebidas de cereales,Bebidas de avena,Bebidas no azucaradas;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:cereal-milks', 'en:oat-milks', 'en:unsweetened-beverages'];Bajo o sin azúcar,100% vegetal,Sin azúcares añadidos,Sin lactosa,Baja-en-grasas-saturadas,Bajo-contenido-en-sal;['en:low-or-no-sugar', 'en:100-vegetable', 'en:no-added-sugar', 'en:no-lactose', 'es:baja-en-grasas-saturadas', 'es:bajo-contenido-en-sal'];España;['en:spain'];water, oatmeal (15%);es:Avena;['es:avena'];100g;186;kJ;46;kcal;0.8;g;0.2;g;08.ian;g;05.apr;g;0.4;g;01.apr;g;0.04;g;0.016;g;186;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:plant-based-milk-substitutes'];b
3,25469E+12;https://images.openfoodfacts.org/images/products/325/469/158/6085/front_fr.95.400.jpg;Le Bio Orange;1.5 L;NULL;Brique, Frais, Brique carton et son bouchon à recycler, FSC mixte, Point vert, Triman, nl:Tetra Gemina Aseptic;Pressade;['pressade'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Nectars de fruits, Jus de fruits, Boissons sans alcool, Nectars d'orange;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-nectars', 'en:fruit-juices', 'en:non-alcoholic-beverages', 'en:orange-nectars'];"Bio, Bio européen, AB Agriculture Biologique, Agriculture UE/Non UE, FR-BIO-01


";['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-01', 'fr:ab-agriculture-biologique'];France;['en:france'];NULL;;[];100g;144;kJ;34;kcal;NULL;NULL;NULL;NULL;08.feb;g;08.feb;g;0.5;g;0.5;g;0;g;0;g;144;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];NULL
5,03886E+12;https://images.openfoodfacts.org/images/products/503/886/216/2500/front_fr.119.400.jpg;100% oranges sans pulpe;900 ml;150ml;Plastic, Bottle, fr:Bouteille en plastique à recycler, fr:Bouchon à recycler;innocent;['innocent'];NULL;Refrigerated squeezed orange juices;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:orange-juices', 'en:refrigerated-squeezed-juices', 'en:refrigerated-squeezed-orange-juices'];Peu ou pas de sucre,en:fsc,FSC Mix,Sans sucre ajouté,en:fsc-c095196,Végétalien;['en:low-or-no-sugar', 'en:vegetarian', 'en:vegan', 'en:fsc', 'en:fsc-mix', 'en:no-added-sugar', 'en:fsc-c095196'];France,Switzerland;['en:france', 'en:switzerland'];NULL;;[];100g;149;kJ;35;kcal;0.5;g;0.1;g;07.aug;g;07.aug;g;0.7;g;0.7;g;0.01;g;0.004;g;149;kJ;33;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];e
3,25469E+12;https://images.openfoodfacts.org/images/products/325/469/158/6115/front_fr.59.400.jpg;Nectar de pommes - Doux - Bio;1,5 l;100ml;Tetra Pak, Brick, Cardboard, fr:Brique en carton;Pressade;['pressade'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Nectars de fruits, Nectars de pomme, Boissons sans alcool;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-nectars', 'en:apple-nectars', 'en:non-alcoholic-beverages'];"Bio, Bio européen, AB Agriculture Biologique, FR-BIO-01


";['en:organic', 'en:eu-organic', 'en:fr-bio-01', 'fr:ab-agriculture-biologique'];France;['en:france'];NULL;;[];100g;NULL;NULL;35;kcal;0;g;0;g;08.aug;g;08.aug;g;0.5;g;0.5;g;0;g;0;g;35;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
3,12448E+12;https://images.openfoodfacts.org/images/products/312/448/018/6560/front_fr.120.400.jpg;Oasis tropical;33 cl;100ml;Métal,Boîte de conserve ou canette,Canette,Acier;Oasis;['oasis'];NULL;Boissons,Boissons sans alcool,Sodas,Sodas aux fruits;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:carbonated-drinks', 'en:fruit-based-beverages', 'en:sodas', 'en:fruit-sodas', 'en:non-alcoholic-beverages'];en:Sans conservateurs;['en:sans-conservateurs'];France,en:Belgique,en:Suisse;['en:france', 'en:belgique', 'en:suisse'];spring water 80%, fruit juice based on concentrates 12% (orange 6.4%, apple 5.5%, passion fruit 0.1%, mango 0.07%), sugar, acidifier: citric acid, aroma, antioxidant: ascorbic acid, stabilizer: acacia gum, color: paprika extract,;;[];100g;141;kJ;33;kcal;0;g;0;g;07.sept;g;07.aug;g;NULL;NULL;0.1;g;0;g;0;g;141;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5,449E+12;https://images.openfoodfacts.org/images/products/544/900/001/1527/front_fr.49.400.jpg;Fanta orange;330 ml;330ml;Metal,Can,Drink can,Aluminium-can,Green dot;Fanta;['fanta'];NULL;Plant-based foods and beverages,Beverages,Plant-based beverages,Carbonated drinks,Fruit-based beverages,Sodas,Fruit sodas,Orange soft drinks;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:carbonated-drinks', 'en:fruit-based-beverages', 'en:sodas', 'en:fruit-sodas', 'en:orange-soft-drinks'];Contains a source of phenylalanine,Green Dot,With sweeteners;['en:contains-a-source-of-phenylalanine', 'en:green-dot', 'en:with-sweeteners'];Benin;['en:benin'];carbonated water: concentrated orange juice (10%): sugar: concentrated lemon juice (2%): natural orange aromas with other natural aromas: preservative: potassium sorbate: stabilizing guar gum: honey extracts coloring: carotenoids,;;[];100g;157;kJ;37;kcal;0;g;0;g;9;g;9;g;0;g;0;g;0;g;0;g;157;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:alcoholic-beverages'];e
3,04532E+12;https://images.openfoodfacts.org/images/products/304/532/010/4127/front_fr.149.400.jpg;jus orange;1 l;NULL;Plastique, Bouteille, Flacon PET;Andros;['andros'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Jus et nectars, Jus de fruits, Jus d'orange, Jus de fruits pur jus, Jus d'orange pur jus;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:juices-and-nectars', 'en:fruit-juices', 'en:orange-juices', 'en:squeezed-juices', 'en:squeezed-orange-juices'];Sans sucre ajouté, en:Sans colorants, en:Sans conservateurs;['en:no-added-sugar', 'en:sans-colorants', 'en:sans-conservateurs'];France,Belgium,Switzerland;['en:belgium', 'en:france', 'en:switzerland'];orange juice;;[];100g;173;kJ;41;kcal;0.1;g;0;g;09.ian;g;09.ian;g;0.6;g;0.6;g;0;g;0;g;173;kJ;35;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
