code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3,05764E+12;https://images.openfoodfacts.org/images/products/305/764/018/6158/front_de.38.400.jpg;Volvic;1500ml;NULL;Einwegpfandflasche;Volvic;['volvic'];NULL;Beverages, Waters, Spring waters, Mineral waters, Non-Alcoholic beverages, en:natural-mineral-waters;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters'];Grüner Punkt;['en:green-dot'];Frankreich,Deutschland;['en:france', 'en:germany'];;;[];100g;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;0;g;0;g;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;12;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];a
3,45097E+12;https://images.openfoodfacts.org/images/products/345/097/007/0782/front_en.276.400.jpg;Eau De Source De Montagne;1,5 l;1000ml;Bottle, es:Plasiic, fr:Bouteille en plastique, fr:bouteille  plastique, fr:Film en plastique;Eco+ Leclerc eco;['eco-leclerc-eco'];NULL;Bebidas,Aguas,Aguas de manantial,Productos de montaña,Mountain waters,Bebidas no azucaradas,Boissons  Eaux  Produits de montagne  Eaux de sources  Eaux de montagne  Boissons sans sucre ajouté;['en:beverages', 'en:waters', 'en:mountain-products', 'en:mountain-waters', 'en:aguas', 'en:aguas-de-manantial', 'en:bebidas', 'en:bebidas-no-azucaradas', 'en:boissons-eaux-produits-de-montagne-eaux-de-sources-eaux-de-montagne-boissons-sans-sucre-ajoute', 'en:productos-de-montana'];convient-aux-nourrissons;['en:convient-aux-nourrissons'];France,en:andorra;['en:andorra', 'en:france'];Eau De Source Naturelle;;[];100g;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;0;g;0;g;14.986;mg;59.944;mg;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;02.aug;mg;04.iul;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];b
40882475;https://images.openfoodfacts.org/images/products/40882475/front_fr.25.400.jpg;Eau de source de montagne;1,5 L;1g;fr:Bouchon en plastique, fr:Sachet en plastique, fr:bouteille  plastique, fr:Bouteille en plastique;Saguaro;['saguaro'];NULL;Beverages,Waters,Spring waters,Mineral waters,Boissons  Eaux  Eaux de sources  Produits de montagne  Boissons sans alcool  Eaux de montagne;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:boissons-eaux-eaux-de-sources-produits-de-montagne-boissons-sans-alcool-eaux-de-montagne'];Convient pour la préparation des aliments de nourrissons;['en:convient-pour-la-preparation-des-aliments-de-nourrissons'];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];a
3,25039E+12;https://images.openfoodfacts.org/images/products/325/039/057/6624/front_fr.63.400.jpg;Eau gazeuse - Quézac;1,15l;un verre (g;Plastique, Bouchon en plastique;Quézac;['quezac'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses, Eaux minérales naturelles, Eau minérale naturelle gazéifiée, Boissons sans sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:natural-mineral-waters', 'en:carbonated-natural-mineral-waters', 'en:unsweetened-beverages'];Labels de distributeurs, Sélection Intermarché, de:labels-von-distributoren;['en:distributor-labels', 'fr:selection-intermarche', 'de:labels-von-distributoren'];France, en:belgium;['en:belgium', 'en:france'];NULL;;[];100g;NULL;NULL;47;kcal;0.5;g;0.1;g;10.mai;g;09.iun;g;0.5;g;01.ian;g;0.01;g;0.004;g;47;kcal;20;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3,05764E+12;https://images.openfoodfacts.org/images/products/305/764/031/7743/front_fr.62.400.jpg;Volvic Zest Citron;50 cl e;250g;Plastique, Bouteille;Volvic;['volvic'];NULL;Boissons,Eaux,Boissons sans alcool,Eaux aromatisées,Boissons avec sucre ajouté;['en:beverages', 'en:waters', 'en:non-alcoholic-beverages', 'en:flavored-waters', 'en:sweetened-beverages'];Faible en calories;['fr:faible-en-calories'];France;['en:france'];NULL;;[];100g;20;kJ;5;kcal;0;g;0;g;1;g;1;g;0;g;0;g;0;g;0;g;20;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
3,05764E+12;https://images.openfoodfacts.org/images/products/305/764/043/0343/front_fr.20.400.jpg;Juicy Citronnade - Eau minérale naturelle;1,5 l;250g;Plastique, Recycler, Bouteille, Bouteille plastique, Pensez au tri!, Point vert, Triman;Volvic,Volvic Juicy;['volvic', 'volvic-juicy'];NULL;Boissons, Eaux, Boissons sans alcool, Eaux aromatisées, Boissons avec sucre ajouté;['en:beverages', 'en:waters', 'en:non-alcoholic-beverages', 'en:flavored-waters', 'en:sweetened-beverages'];Arômes naturels, Sans conservateurs, Sans édulcorants;['en:natural-flavors', 'en:no-preservatives', 'en:without-sweeteners'];France,Suisse;['en:france', 'en:switzerland'];NULL;;[];100g;NULL;NULL;40;kcal;0.3;g;0;g;04.sept;g;04.sept;g;0;g;0.5;g;0.01;g;0.004;g;40;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3,05764E+12;https://images.openfoodfacts.org/images/products/305/764/043/1098/front_fr.72.400.jpg;Volvic Juicy Fraise;50 cl;250 ml;Plastique, Bouteille;Volvic, Volvic juicy;['volvic', 'volvic-juicy'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons aux fruits, Eaux, Eaux aromatisées, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:waters', 'en:flavored-waters', 'en:sweetened-beverages'];en:no-additives;['en:no-additives'];France, Switzerland;['en:france', 'en:switzerland'];NULL;;[];100g;113;kJ;27;kcal;0.5;g;0;g;04.sept;g;04.sept;g;NULL;NULL;0.5;g;0.01;g;0.004;g;113;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
20454456;https://images.openfoodfacts.org/images/products/20454456/front_fr.96.400.jpg;Naturellement pétillante;1.25 l.;serving;Plastique, Bouteille, Bouchon en plastique, Bouteille compressible, Bouteille en plastique, Bouteille et bouchon plastique à recycler;Saguaro;['saguaro'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses, Eaux minérales gazeuses;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:carbonated-mineral-waters'];Déconseillé à certaines catégories de personnes, Déconseillé aux enfants de moins de 3 ans;['en:not-advised-for-specific-people', 'en:not-recommended-for-children-under-3-years'];France;['en:france'];NULL;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1890;mg;756;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;44;mg;119;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3,06832E+12;https://images.openfoodfacts.org/images/products/306/832/008/4602/front_fr.38.400.jpg;NATÜRLICHES MINERALWASSER;1.5l;NULL;Plastique, Bouteille, en:pet-bottle;Evian;['evian'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses, Eaux minérales naturelles, Eau minérale naturelle gazéifiée, Eau minérale naturelle légèrement gazéifiée;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:natural-mineral-waters', 'en:carbonated-natural-mineral-waters', 'en:mildly-carbonated-natural-mineral-water'];;[];France,Allemagne,Suisse;['en:france', 'en:germany', 'en:switzerland'];;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
8,00227E+12;https://images.openfoodfacts.org/images/products/800/227/066/6667/front_fr.48.400.jpg;SANPELLEGRINO Momenti boisson gazeuse aromatisée clémentine pêche 33cl;330 ml;330 ml;Bouteille;Sanpellegrino, Momenti, San pellegrino, Sanpellegrino momenti;['sanpellegrino', 'momenti', 'san-pellegrino', 'sanpellegrino-momenti'];NULL;Boissons, Eaux;['en:beverages', 'en:waters'];Point Vert, Triman;['en:green-dot', 'fr:triman'];France;['en:france'];NULL;;[];100g;44;kJ;10;kcal;0;g;0;g;2;g;2;g;0;g;0;g;0;g;0;g;44;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];c
6,11104E+12;https://images.openfoodfacts.org/images/products/611/103/500/0058/front.3.400.jpg;Eau Sidi Ali;1,5 L;1l;Plastique, Bouteille;Sidi Ali,Les Eaux Minérales d'oulmès;['sidi-ali', 'les-eaux-minerales-d-oulmes'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans sucre ajouté;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:unsweetened-beverages'];;[];France,Morocco,en:morocco;['en:france', 'en:morocco'];NULL;;[];100g;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;0;g;0;g;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;02.aug;mg;12.ian;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3,25438E+12;https://images.openfoodfacts.org/images/products/325/438/101/6922/front_fr.94.400.jpg;Cristaline pétillante;50 cl;serving;Bouchon en plastique,Bouteille en plastique;Cristaline;['cristaline'];NULL;Boissons,Boissons gazeuses,Eaux,Eaux de sources,Boissons sans alcool,Eaux gazeuses,Boissons sans sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:non-alcoholic-beverages', 'en:carbonated-waters', 'en:unsweetened-beverages'];;[];Belgique,France,Suisse;['en:belgium', 'en:france', 'en:switzerland'];;;[];serving;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;0;g;0;g;21.336;mg;0.85344;mg;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;0.23;mg;iun.75;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3,70012E+12;https://images.openfoodfacts.org/images/products/370/012/330/0014/front_es.78.400.jpg;Aquarel;1,5 l;1000ml;Plastic,Bottle,es:Green dot;Nestlé Aquarel,Nestlé Waters,Nestlé;['nestle-aquarel', 'nestle-waters', 'nestle'];NULL;Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:natural-mineral-waters'];FSC,FSC Mix,Green Dot;['en:fsc', 'en:fsc-mix', 'en:green-dot'];Andorra,Belgium,France,Luxembourg,Spain;['en:andorra', 'en:belgium', 'en:france', 'en:luxembourg', 'en:spain'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.175;mg;0.47;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.22;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];a
3,05764E+12;https://images.openfoodfacts.org/images/products/305/764/051/3428/front_fr.4.400.jpg;Essentiel Citron, Pamplemouse et Romarin;75cl;NULL;;Volvic;['volvic'];NULL;Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons aux fruits,Eaux,Boisson à l’eau minérale aromatisée;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:fruit-based-beverages', 'en:waters', 'fr:boisson-a-l-eau-minerale-aromatisee'];Bio,Bio européen,AB Agriculture Biologique;['en:organic', 'en:eu-organic', 'fr:ab-agriculture-biologique'];France;['en:france'];NULL;;[];100g;NULL;NULL;1;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;0;g;0;g;1;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];b
3,05764E+12;https://images.openfoodfacts.org/images/products/305/764/026/5358/front_fr.7.400.jpg;volvic;50 cl;NULL;Plastic, Ldpe-sleeve, Pet-bottle, fr:Bouchon en plastique, en:pp-cap;50 cl;['50-cl'];NULL;Eaux,Eaux de sources,Eaux minérales;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
