code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
5000112609684;https://images.openfoodfacts.org/images/products/500/011/260/9684/front_fr.30.400.jpg;Coca-Cola original taste;2 L;250 ml;Plastique, Bouteille;Coca-Cola;['coca-cola'];NULL;Boissons, Boissons gazeuses, Sodas, Sodas au cola, Boissons avec sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:colas', 'en:sweetened-beverages'];Fabriqué en France;['en:made-in-france'];France;['en:france'];NULL;;[];100g;NULL;NULL;42;kcal;0;g;0;g;10.6;g;10.6;g;NULL;NULL;0;g;0;g;0;g;42;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5449000214805;https://images.openfoodfacts.org/images/products/544/900/021/4805/front_en.7.400.jpg;Fanta orange;33 cl;330 ml;Métal, Boîte de conserve ou canette, Canette;Fanta;['fanta'];NULL;Beverages,Carbonated drinks,Fruit-based beverages,Artificially sweetened beverages,Sodas,Fruit sodas,Orange soft drinks,Sweetened beverages;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:carbonated-drinks', 'en:fruit-based-beverages', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:fruit-sodas', 'en:orange-soft-drinks', 'en:sweetened-beverages'];Green Dot;['en:green-dot'];France,Hungary,World;['en:france', 'en:hungary', 'en:world'];;;[];100g;NULL;NULL;27;kcal;NULL;NULL;NULL;NULL;6.5;g;6.5;g;NULL;NULL;NULL;NULL;0;g;0;g;27;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];NULL
3124480001429;https://images.openfoodfacts.org/images/products/312/448/000/1429/front_fr.45.400.jpg;Schweppes zéro Indian Tonic;1,5 l;200 ml;Plastique, PET - Polytéréphtalate d'éthylène, Bouteille plastique;Schweppes,Orangina Schweppes;['schweppes', 'orangina-schweppes'];NULL;Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Sodas light, Eau tonique;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:diet-sodas', 'en:tonic-water'];Peu ou pas de sucre, Sans sucre ajouté, Sans aspartame, Sans sucre;['en:low-or-no-sugar', 'en:no-added-sugar', 'en:no-aspartame', 'en:no-sugar'];France, Switzerland;['en:france', 'en:switzerland'];Carbonated water, acidifier: citric acid, sweeteners: acesulfame K and sucralose, natural flavors, aroma: quinine;;[];100g;NULL;NULL;1;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;0;g;0;g;1;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
5449000223555;https://images.openfoodfacts.org/images/products/544/900/022/3555/front_fr.66.400.jpg;Coca-cola Zéro Sans caféine;1,25 L;250ml;Bouteille;Coca-Cola;['coca-cola'];NULL;Boissons, Boissons gazeuses, Boissons édulcorées, Sodas, Boissons light, Boissons sans alcool, Sodas au cola, Sodas light, Sodas au cola sans caféine, Sodas au cola light;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:non-alcoholic-beverages', 'en:colas', 'en:diet-sodas', 'en:cola-sodas-without-caffeine', 'en:diet-cola-soft-drink'];Contient une source de phénylalanine;['en:contains-a-source-of-phenylalanine'];France,Espagne;['en:france', 'en:spain'];NULL;;[];100g;NULL;NULL;0.3;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.01;g;0.004;g;0.3;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
20454456;https://images.openfoodfacts.org/images/products/20454456/front_fr.96.400.jpg;Naturellement pétillante;1.25 l.;serving;Plastique, Bouteille, Bouchon en plastique, Bouteille compressible, Bouteille en plastique, Bouteille et bouchon plastique à recycler;Saguaro;['saguaro'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses, Eaux minérales gazeuses;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:carbonated-mineral-waters'];Déconseillé à certaines catégories de personnes, Déconseillé aux enfants de moins de 3 ans;['en:not-advised-for-specific-people', 'en:not-recommended-for-children-under-3-years'];France;['en:france'];NULL;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1890;mg;756;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;44;mg;119;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3068320084602;https://images.openfoodfacts.org/images/products/306/832/008/4602/front_fr.38.400.jpg;NATÜRLICHES MINERALWASSER;1.5l;NULL;Plastique, Bouteille, en:pet-bottle;Evian;['evian'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses, Eaux minérales naturelles, Eau minérale naturelle gazéifiée, Eau minérale naturelle légèrement gazéifiée;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:natural-mineral-waters', 'en:carbonated-natural-mineral-waters', 'en:mildly-carbonated-natural-mineral-water'];;[];France,Allemagne,Suisse;['en:france', 'en:germany', 'en:switzerland'];;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
5000112545326;https://images.openfoodfacts.org/images/products/500/011/254/5326/front_en.6.400.jpg;Coca-Cola Original Taste;330 ml;330 ml;Métal, Boîte de conserve ou canette, Canette, en:aluminium-can;Coca-Cola company,The Coca Cola Company,Coca-Cola;['coca-cola-company', 'the-coca-cola-company', 'coca-cola'];NULL;Drikkevarer, Kulsyreholdige drikkevarer, Sodavand, Cola, Sødede drikkevarer;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:colas', 'en:sweetened-beverages'];;[];Danmark, Frankrig, Switzerland, en:united-kingdom, en:spain;['en:denmark', 'en:france', 'en:spain', 'en:switzerland', 'en:united-kingdom'];Vand, sukker, kuldioxid, farvestof (karamel E150d), surhedsregulerende middel (E338), , naturlige aromaer(inkl. koffein).;;[];100g;180;kJ;42;kcal;0;g;0;g;10.6;g;10.6;g;0;g;0;g;0;g;0;g;180;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
5000112576009;https://images.openfoodfacts.org/images/products/500/011/257/6009/front_de.30.400.jpg;cola zero;1pcs;250ml;Kunststoff, Flasche(n);Coca-Cola;['coca-cola'];NULL;Getränke,Kohlensäurehaltige Getränke,Getränke mit Süßstoff,Erfrischungsgetränke,Kalorienarme Getränke,Cola,Kalorienarme Erfrischungsgetränke,Kalorienarme Colas;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:diet-beverages', 'en:colas', 'en:diet-sodas', 'en:diet-cola-soft-drink'];Zuckerarm oder zuckerfrei, Ohne Zucker;['en:ohne-zucker', 'en:zuckerarm-oder-zuckerfrei'];Deutschland;['en:germany'];NULL;;[];100g;0.9;kJ;0.2;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.2;g;0.08;g;0.9;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:artificially-sweetened-beverages'];b
90162800;https://images.openfoodfacts.org/images/products/90162800/front_en.97.400.jpg;Koffeinhaltiges Tauringetränk mit Süßungsmittel;250ml;250ml;en:Metal,en:Recyclable Metals,41 ALU,Lata,Lata de bebida;Red Bull;['red-bull'];NULL;Bebidas,Bebidas carbonatadas,Bebidas endulzadas artificialmente,Sodas,Bebidas no alcohólicas,Bebidas energéticas;['en:beverages', 'en:carbonated-drinks', 'en:artificially-sweetened-beverages', 'en:sodas', 'en:non-alcoholic-beverages', 'en:energy-drinks'];Bajo o sin azúcar,Hecho en Suiza,Sin azúcar;['en:low-or-no-sugar', 'en:made-in-swiss', 'en:no-sugar'];Australia,Austria,Bélgica,Francia,Alemania,Irlanda,Italia,España,Suiza,Reino Unido;['en:australia', 'en:austria', 'en:belgium', 'en:france', 'en:germany', 'en:ireland', 'en:italy', 'en:spain', 'en:switzerland', 'en:united-kingdom'];water, acid (citric acid), carbon dioxide, taurine (0,4%), acidity regulators (sodium carbonates, magnesium carbonates), sweeteners (acesulfame k, aspartame), caffeine (0,03%), vitamins (niacin nlathenic acid, b6, b12), flavourings, thickener xanthan gum), colours (plain caramel, riboflavin) contiains a source of phenylanine,;es:Fenilalanina;['es:fenilalanina'];100g;13;kJ;3;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.1;g;0.04;g;13;kJ;NULL;NULL;2;mg;2;µg;NULL;NULL;NULL;NULL;32;mg;400;mg;['en:beverages', 'en:sweetened-beverages'];b
3551720012622;https://images.openfoodfacts.org/images/products/355/172/001/2622/front.16.400.jpg;LIMONADE;1,5 L;200 ml;fr:bouchon plastique, fr:bouteille plastique;Lorina;['lorina'];NULL;Boissons, Boissons gazeuses, Sodas, Limonades, Boissons avec sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:sodas', 'en:lemonade', 'en:sweetened-beverages'];;[];France;['en:france'];carbonated water, sugar, acidifier: citric acid, natural aromas of lime and citrus,;;[];100g;NULL;NULL;30;kcal;0;;0;;7.4;;7.4;;0;;0.5;;0.01;;0.004;g;30;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
