code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
6111018905264;https://images.openfoodfacts.org/images/products/611/101/890/5264/front_en.20.400.jpg;45g;NULL;NULL;Nescafé;['nescafe'];NULL;Boissons au café;['en:beverages', 'en:coffee-drinks'];NULL;NULL;en:ma;['en:morocco'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];NULL
5411188129219;https://images.openfoodfacts.org/images/products/541/118/812/9219/front_fr.41.400.jpg;Alpro caffé;1 l;100ml;Tetra Pak, Brique en carton, Produkt;Alpro;['alpro'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Fruits à coques et dérivés, Boissons à base de végétaux, Substitut du lait, Boissons végétales, Boissons végétales de fruits à coque, Laits d'amande, Boissons au café, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:nut-milks', 'en:almond-milks', 'en:coffee-drinks', 'en:sweetened-beverages'];"Végétarien, Sans gluten, Végétalien, Point Vert, Sans lactose, Nutriscore, Nutriscore D, Rainforest Alliance, nl:Zuivelvrij
";['en:vegetarian', 'en:no-gluten', 'en:vegan', 'en:green-dot', 'en:no-lactose', 'en:nutriscore', 'en:nutriscore-grade-d', 'en:rainforest-alliance', 'nl:zuivelvrij'];Belgien, en:ch, en:france;['en:france', 'en:switzerland', 'fr:belgien'];NULL;;['en:nuts'];100g;NULL;NULL;30;kcal;0.8;g;0.1;g;4.9;g;4.9;g;1.4;g;0.3;g;0.15;g;0.06;g;30;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
5011546498386;https://images.openfoodfacts.org/images/products/501/154/649/8386/front_fr.97.400.jpg;Capsules NESCAFE Dolce Gusto Latte Macchiato 16 Capsules;194.4 g;24.3 g (220 ml pour 24.3 g);Plastique, Boîte, Carton, Dose invididuelle, Papier cartonné, en:card-box, en:mixed plastic-lid, en:ps-pot, 21, 90, C/PP;Nescafé,Nescafé Dolce gusto,Dolce Gusto, Sainsburys;['nescafe', 'nescafe-dolce-gusto', 'dolce-gusto', 'sainsburys'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Produits laitiers, Boissons chaudes, Boissons lactées, Cafés, Dosettes, Cafés en dosettes, Boissons au café, Boissons lactées au café, Boissons avec sucre ajouté, Dosettes Dolce Gusto;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairies', 'en:hot-beverages', 'en:dairy-drinks', 'en:coffees', 'en:capsules', 'en:coffee-capsules', 'en:coffee-drinks', 'en:coffee-milks', 'en:sweetened-beverages', 'fr:dosettes-dolce-gusto'];EAC, Point Vert;['en:eac', 'en:green-dot'];Danemark, France, Allemagne, Suisse, en:belgium;['en:belgium', 'en:denmark', 'en:france', 'en:germany', 'en:switzerland'];NULL;en:milk,en:soybeans;['en:milk', 'en:soybeans'];100g;1785;kJ;428;kcal;21.9;g;12.8;g;32.8;g;32.8;g;10.4;g;19.5;g;0.43;g;0.172;g;1785;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3256225435043;https://images.openfoodfacts.org/images/products/325/622/543/5043/front_fr.58.400.jpg;Cappuccino nature avec poudreuse;235 g;14 g;Métal, Plastique, Pot;U;['u'];NULL;Boissons, Produits laitiers, Boissons lactées, Boissons instantanées, Boissons au café, Boissons lactées au café, Boissons avec sucre ajouté;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:instant-beverages', 'en:coffee-drinks', 'en:coffee-milks', 'en:sweetened-beverages'];Point Vert;['en:green-dot'];France;['en:france'];NULL;en:milk;['en:milk'];100g;1810;kJ;430;kcal;11.5;g;10.5;g;69.5;g;54.9;g;2.2;g;10.9;g;1.14;g;0.456;g;1810;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];NULL
5411188128021;https://images.openfoodfacts.org/images/products/541/118/812/8021/front_en.58.400.jpg;Caffè latte caramel soya;235ml;235ml;Plastic, PP - Polypropylene, Green dot, fr:Opercule en métal;Alpro;['alpro'];NULL;Plant-based foods and beverages,Beverages,Plant-based foods,Legumes and their products,Plant-based beverages,Milk substitute,Plant milks,Legume milks,Soy milks,Coffee drinks,Sweetened beverages;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:plant-based-beverages', 'en:milk-substitute', 'en:plant-milks', 'en:legume-milks', 'en:soy-milks', 'en:coffee-drinks', 'en:sweetened-beverages'];Low or no sugar,Low sugar,Vegetarian,No gluten,Reduced sugar,Vegan,30% less sugar,Contains soy,Do not freeze,Green Dot,No GMOs,No lactose,Rainforest Alliance,The Vegan Society,Without addition of dairy products;['en:low-or-no-sugar', 'en:low-sugar', 'en:vegetarian', 'en:no-gluten', 'en:reduced-sugar', 'en:vegan', 'en:30-less-sugar', 'en:contains-soy', 'en:do-not-freeze', 'en:green-dot', 'en:no-gmos', 'en:no-lactose', 'en:rainforest-alliance', 'en:the-vegan-society', 'en:without-addition-of-dairy-products'];Belgium,France,Germany,United Kingdom;['en:belgium', 'en:france', 'en:germany', 'en:united-kingdom'];coffee 53% (water, coffee extract),  soya  base (water, dehulled  soya  beans 3,9%), sugar, caramelized sugar 2,5%, chicory root fibre, acidity regulator (potassium phosphates), sea salt, stabilisers (locust bean gum, gellan gum), caramel flavouring, natural flavouring,;en:soybeans;['en:soybeans'];100g;149;kJ;36;kcal;0.8;g;0.1;g;4.9;g;4.9;g;1.3;g;1.5;g;0.14;g;0.056;g;149;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
8711000344873;https://images.openfoodfacts.org/images/products/871/100/034/4873/front_fr.47.400.jpg;Tassimo Macchiato caramel;;NULL;Barquette;Tassimo;['tassimo'];NULL;Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Coffees, Capsules, Coffee capsules, Tassimo-compatible coffee capsules, en:coffee-drinks;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:coffees', 'en:capsules', 'en:coffee-capsules', 'en:coffee-drinks', 'en:tassimo-compatible-coffee-capsules'];;[];France;['en:france'];NULL;;['en:milk'];100g;NULL;NULL;28;kcal;1.3;g;0.9;g;3.6;g;3.6;g;0.1;g;0.2;g;0.14;g;0.056;g;28;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
3250391111190;https://images.openfoodfacts.org/images/products/325/039/111/1190/front_fr.22.400.jpg;Capuccino;140 g;14 g;Plastique, Boîte, Carton, Batonnet;Planteur des Tropiques,Intermarché;['planteur-des-tropiques', 'intermarche'];NULL;Boissons, Produits laitiers, Boissons chaudes, Boissons lactées, Boissons instantanées, Boissons au café, Boissons lactées au café, Boissons avec sucre ajouté, Boissons sans sucre ajouté, Cappuccinos;['en:beverages', 'en:dairies', 'en:hot-beverages', 'en:dairy-drinks', 'en:instant-beverages', 'en:coffee-drinks', 'en:coffee-milks', 'en:sweetened-beverages', 'en:unsweetened-beverages', 'fr:cappuccinos'];Labels de distributeurs, Point Vert, Sélection Intermarché;['en:distributor-labels', 'en:green-dot', 'fr:selection-intermarche'];France;['en:france'];NULL;en:milk;['en:milk'];100g;NULL;NULL;35;kcal;0.9;g;0.6;g;6;g;4.6;g;NULL;NULL;0.9;g;0.08;g;0.032;g;35;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];NULL
3450970109215;https://images.openfoodfacts.org/images/products/345/097/010/9215/front_fr.7.400.jpg;Chicorée Café Soluble;200 g;NULL;Plastique;Éco+;['eco'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons instantanées, Boissons au café, Chicorée soluble, Boissons-a-la-chicoree;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:instant-beverages', 'en:coffee-drinks', 'en:instant-chicory', 'fr:boissons-a-la-chicoree'];;[];France;['en:france'];NULL;;[];100g;1423;kj;16;kcal;0;g;0;g;72;g;6.2;g;8.5;g;7.7;g;0.37;g;0.148;g;1423;kj;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];NULL
8711000469385;https://images.openfoodfacts.org/images/products/871/100/046/9385/front_fr.25.400.jpg;Latte de l'ours goût spéculoos;280 ml;280 mL;;Tassimo;['tassimo'];NULL;Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Produits laitiers,Boissons chaudes,Cafés,Dosettes,Cafés en dosettes,Cafés en dosettes compatible Tassimo,Boissons lactées au café;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairies', 'en:hot-beverages', 'en:dairy-drinks', 'en:coffees', 'en:capsules', 'en:coffee-capsules', 'en:coffee-drinks', 'en:coffee-drinks-with-milk', 'en:tassimo-compatible-coffee-capsules'];;[];France;['en:france'];NULL;en:milk;['en:milk'];100g;120;kJ;29;kcal;1.4;g;1;g;3.5;g;3.5;g;0.1;g;0.2;g;0.13;g;0.052;g;120;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
29050444;https://images.openfoodfacts.org/images/products/29050444/front_fr.58.400.jpg;Latte macchiato;NULL;NULL;NULL;Moreno;['moreno'];NULL;Boissons, Produits laitiers, Laits, Boissons au café, Boissons avec sucre ajouté;['en:beverages', 'en:dairies', 'en:milks', 'en:coffee-drinks', 'en:sweetened-beverages'];;[];France;['en:france'];NULL;;['en:milk'];100g;NULL;NULL;58;kcal;1.2;g;0.8;g;8.8;g;8.8;g;0;g;2.8;g;0.18;g;0.072;g;58;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
7610900041640;https://images.openfoodfacts.org/images/products/761/090/004/1640/front_en.25.400.jpg;Coffee Latte Cappuccino;370 ml;370 ml;;Emmi, Emmi Caffè Latte;['emmi', 'emmi-caffe-latte'];Emmi Group;Groceries, Boissons, Boissons au café, Boissons avec sucre ajouté, Boissons lactées, Boissons lactées au café, Produits laitiers, en:coffee-drinks;['en:beverages', 'en:coffee-drinks', 'en:boissons', 'en:boissons-au-cafe', 'en:boissons-avec-sucre-ajoute', 'en:boissons-lactees', 'en:boissons-lactees-au-cafe', 'en:groceries', 'en:produits-laitiers'];en:made-in-switzerland, Rainforest Alliance;['en:made-in-swiss', 'en:rainforest-alliance'];Suisse, Austria, Luxembourg, BeNeLux, Belgien, Deutschland, Niederlande, Schweiz;['en:austria', 'en:luxembourg', 'en:benelux', 'en:belgien', 'en:deutschland', 'en:niederlande', 'en:schweiz', 'en:suisse'];78% partly skimmed milk, 17% fresh Arabica coffee, sugar, 0.8% cocoa powder, stabilizer (E339), carrageenan thickener. Pasteurized. Caffeine content: 129mg per cup.;;['en:milk'];100g;258;kJ;61.6104;kcal;1.2;g;0.7;g;9.5;g;9.1;g;0.05;g;2.9;g;0.08;g;0.032;g;258;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
