code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
3155250369616;https://images.openfoodfacts.org/images/products/315/525/036/9616/front_fr.4.400.jpg;Kéfir biologique;500 g;NULL;Plastique, Bouteille;Lactel;['lactel'];NULL;Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Kéfir;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:kefir'];"Bio, Bio européen, DE-ÖKO-001, Agriculture UE, Triman

";['en:organic', 'en:eu-organic', 'en:de-oko-001', 'en:eu-agriculture', 'fr:triman'];France, en:spain;['en:france', 'en:spain'];NULL;en:milk;['en:milk'];100g;NULL;NULL;44;kcal;1.5;g;1;g;4.1;g;4.1;g;NULL;NULL;3.4;g;0.13;g;0.052;g;44;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];d
8000300211368;https://images.openfoodfacts.org/images/products/800/030/021/1368/front_xx.146.400.jpg;NESCAFE CAFE VIENNOIS 306 g;306 g;17g;Plastic,Box,fr:Film en plastique,fr:boite plastique,xx:Bocal;Nescafé,Nestlé,Cafe viennois;['nescafe', 'nestle', 'cafe-viennois'];NULL;Plant-based foods and beverages,Beverages,Plant-based foods,Dairies,Hot beverages,Dairy drinks,Coffees,Evaporated milks,Instant beverages,Instant coffees,Coffee drinks,Coffee milks,Sweetened beverages,fr:Cafes-viennois;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:dairies', 'en:hot-beverages', 'en:dairy-drinks', 'en:coffees', 'en:evaporated-milks', 'en:instant-beverages', 'en:instant-coffees', 'en:coffee-drinks', 'en:coffee-milks', 'en:sweetened-beverages', 'fr:cafes-viennois'];Green Dot,Nutriscore,Nutriscore Grade E,fr:Triman;['en:green-dot', 'en:nutriscore', 'en:nutriscore-grade-e', 'fr:triman'];France;['en:france'];NULL;en:milk;['en:milk'];100g;288;kJ;68;kcal;1.5;g;1.3;g;11.9;g;9.5;g;0.6;g;1.4;g;0.14;g;0.056;g;288;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:teas-and-herbal-teas-and-coffees'];e
3033491213199;https://images.openfoodfacts.org/images/products/303/349/121/3199/front_fr.50.400.jpg;Actimel Gout Fraise;1,2 kg (12 * 100 g);NULL;Plastique, Carton, Frais;Danone,Actimel;['danone', 'actimel'];NULL;Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Yaourts, Yaourts au Bifidus, Yaourts à boire, Yaourts à boire goût fraise, Boissons sans sucre ajouté;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:bifidus-yogurts', 'en:drinkable-yogurts', 'en:strawberry-yogurt-drinks', 'en:unsweetened-beverages'];Point Vert;['en:green-dot'];France, en:af;['en:afghanistan', 'en:france'];NULL;en:milk;['en:milk'];100g;NULL;NULL;76;kcal;1.5;g;1;g;12;g;11.9;g;0.3;g;2.8;g;0.1;g;0.04;g;76;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3176571744067;https://images.openfoodfacts.org/images/products/317/657/174/4067/front_fr.37.400.jpg;Candy'Up Goût Vanille;1,2L (6x20cl);20CL;Tetra Pak,Carton,Briquette,Film plastique;Candia,Candy'Up;['candia', 'candy-up'];NULL;Boissons,Produits laitiers,Boissons lactées,Laits aromatisés,Laits aromatisés à la vanille;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:flavoured-milks', 'en:vanilla-milks'];Source de calcium,Fabriqué en France,Nutriscore,Nutriscore B,Source de vitamine D;['en:calcium-source', 'en:made-in-france', 'en:nutriscore', 'en:nutriscore-grade-b', 'en:vitamin-d-source'];France;['en:france'];dairy products: 94% (partially skimmed milk, reconstituted milk permeate), sugar: 5%, natural flavour, vitamin d;en:milk;['en:milk'];100g;243;kJ;57;kcal;0.6;g;0.4;g;10;g;9.7;g;0;g;3;g;0.09;g;0.036;g;243;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;100;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3278693504083;https://images.openfoodfacts.org/images/products/327/869/350/4083/front_fr.60.400.jpg;Emprésuré Caramel;4*125 g;125g;Métal, Plastique, Pot, en:Recyclable Metals, Aluminium, Pot individuel, Opercule;Malo;['malo'];NULL;Boissons, Produits laitiers, Desserts, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Desserts lactés, Laits aromatisés, Crèmes dessert, Yaourts, Crèmes dessert caramel, Laits emprésurés aromatisés, Laits emprésurés au caramel, Yaourts aromatisés;['en:beverages', 'en:dairies', 'en:desserts', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:milks', 'en:dairy-desserts', 'en:flavoured-milks', 'en:dessert-creams', 'en:yogurts', 'en:flavoured-yogurts', 'en:renneted-milks', 'en:caramel-custard-dessert', 'en:flavoured-renneted-milks', 'fr:laits-empresures-au-caramel'];"Point Vert, en:produced-in-bretagne
";['en:green-dot', 'en:produced-in-brittany'];France;['en:france'];NULL;en:milk;['en:milk'];100g;423;kJ;98;kcal;0.8;g;0.5;g;18;g;18;g;0;g;4.7;g;0.2;g;0.08;g;423;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;220;mg;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];b
5760466995931;https://images.openfoodfacts.org/images/products/576/046/699/5931/front_fr.47.400.jpg;Caffè Latte;220ml;220ml - 1 Pot;Métal, Plastique, Pot, Pot individuel, Opercule;Starbucks,Starbucks Discoveries;['starbucks', 'starbucks-discoveries'];NULL;Boissons, Produits laitiers, Boissons chaudes, Boissons lactées, Boissons au café, Boissons lactées au café, Boissons avec sucre ajouté, Boissons sans sucre ajouté, Surgelés;['en:beverages', 'en:dairies', 'en:frozen-foods', 'en:hot-beverages', 'en:dairy-drinks', 'en:coffee-drinks', 'en:coffee-milks', 'en:sweetened-beverages', 'en:unsweetened-beverages'];"Commerce équitable, Fairtrade International

";['en:fair-trade', 'en:fairtrade-international'];Belgium,France;['en:belgium', 'en:france'];milk (contains 3.1% fat) 75%, starbucks arabica coffee® (water, coffee extract) 20%, sugar, natural coffee flavor, acidity corrector (potassium carbonates), stabilizers (carrageenans, guar gum), emulsifiers (mono - and diglycerides of fatty acids of vegetable origin),;en:milk;['en:milk'];100g;NULL;NULL;70;kcal;2.5999999046326;g;1.7000000476837;g;8.8999996185303;g;8.5;g;NULL;NULL;2.7999999523163;g;0.08;g;0.032;g;70;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
3218930156002;https://images.openfoodfacts.org/images/products/321/893/015/6002/front_fr.47.400.jpg;Paysan Breton - Le Lait Ribot;1 l;NULL;Plastique, Bouteille, Frais, Bouchon en plastique, Bouteille en plastique;Paysan Breton;['paysan-breton'];Laïta;Produits laitiers, Laits, Laits de vache, Laits fermentés, Boissons, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Lait fermenté à boire nature au lait entier;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:milks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:cow-milks', 'en:plain-whole-fermented-milk-drink', 'fr:laits-fermentes'];"Concours général agricole, en:produced-in-bretagne, Médaille de bronze du Concours général agricole, Médaille de bronze du concours général agricole 2013


";['fr:concours-general-agricole', 'en:produced-in-brittany', 'fr:medaille-de-bronze-du-concours-general-agricole', 'fr:medaille-de-bronze-du-concours-general-agricole-2013'];France;['en:france'];NULL;en:milk;['en:milk'];100g;243;kJ;58;kcal;3.2;g;2.3;g;4;g;4;g;NULL;NULL;3.3;g;0.1;g;0.04;g;243;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];b
8410297111150;https://images.openfoodfacts.org/images/products/841/029/711/1150/front_es.30.400.jpg;Leche Uht Semidesnatada;1,5 l;NULL;Plástico, HDPE;Central Lechera Asturiana;['central-lechera-asturiana'];NULL;Bebidas, Lácteos, Bebida lácteas, Leches, Leches homogeneizadas, Leche UHT, Leche semidesnatada;['en:beverages', 'en:dairies', 'en:dairy-drinks', 'en:milks', 'en:homogenized-milks', 'en:semi-skimmed-milks', 'en:uht-milks'];es:gestion-de-servicios-agrarios;['es:gestion-de-servicios-agrarios'];Países Bajos,España;['en:netherlands', 'en:spain'];semi-skimmed cow's milk,;en:milk;['en:milk'];100g;NULL;NULL;45;kcal;1.6;g;1;g;4.7;g;4.7;g;NULL;NULL;3.2;g;0.1;g;0.04;g;45;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;120;mg;NULL;NULL;NULL;NULL;['en:milk-and-dairy-products', 'en:milk-and-yogurt'];b
8424790111005;https://images.openfoodfacts.org/images/products/842/479/011/1005/front_en.44.400.jpg;Kefir;500 g;NULL;Paper;pastoret;['pastoret'];NULL;fr:b, en:kefir;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:kefir', 'fr:b'];fr:source-de-vitamine-b6-bio, Green Dot;['en:green-dot', 'fr:source-de-vitamine-b6-bio'];France,Spain,en:spain;['en:france', 'en:spain'];INGREDIENTES: LECHE PASTEURIZADA DE VACA Y FERMENTOS LÁCTICOS.;;[];100g;NULL;NULL;65;kcal;3.8;g;2.7;g;3.8;g;3.8;g;NULL;NULL;3.4;g;0.1;g;0.04;g;65;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];e
3329770063280;https://images.openfoodfacts.org/images/products/332/977/006/3280/front_fr.35.400.jpg;Yop framboise;825 g;170 g (recommandée);Bouteille;Yoplait,Yop gf;['yoplait', 'yop-gf'];NULL;Boissons, Produits laitiers, Produits fermentés, Produits laitiers fermentés, Boissons lactées, Boissons fermentées, Boissons lactées fermentées, Yaourts, Yaourts à boire, Yaourt à boire à la framboise;['en:beverages', 'en:dairies', 'en:fermented-foods', 'en:fermented-milk-products', 'en:dairy-drinks', 'en:fermented-drinks', 'en:fermented-milk-drinks', 'en:yogurts', 'en:drinkable-yogurts', 'fr:yaourt-a-boire-a-la-framboise'];Lait Français;['en:french-milk'];France;['en:france'];NULL;en:milk;['en:milk'];100g;279;kJ;66;kcal;0.8;g;0.5;g;10.7;g;10.5;g;NULL;NULL;3;g;0.12;g;0.048;g;279;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;120;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];e
